0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, April 2023",,,,,
,,,Tourist Arrivals (April  2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,,,,
,,By Air,By Sea,Total,(April  2022)
,India,"19,907",08,"19,915","8,678"
1,,,,,
,Russian Federation,"14,653",03,"14,656","3,874"
2,,,,,
3,United Kingdom,"8,521",222,"8,743","11,539"
4,Germany,"6,576",828,"7,404","6,088"
5,France,"4,318","1,217","5,535","4,035"
6,China,"5,054",64,"5,118",261
7,Australia,"4,777",219,"4,996","3,508"
8,United States,"2,863","1,077","3,940","1,872"
9,Canada,"3,165",145,"3,310","2,083"
10,Japan,"1,049","1,269","2,318",249
