0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, May  2022",,,,,
,,,,,Tourist
,Country of,,Tourist Arrivals (May 2022),,
Rank,,,,,Arrivals
,Residence,,,,
,,By Air,By Sea,Total,(May 2021)
1,India,"5,562",-,"5,562",39
2,United Kingdom,"3,723",-,"3,723",149
3,Russian Federation,"3,202",-,"3,202",94
4,Germany,"2,208",-,"2,208",222
5,Canada,"2,013",-,"2,013",69
6,Australia,"1,660",-,"1,660",34
7,United States,"1,368",-,"1,368",153
8,France,"1,076",-,"1,076",27
9,Maldives,849,-,849,73
10,Spain,692,-,692,20
