0,1,2,3,4,5,6,7
Location,Year,Domestic Tourists,,Foreign Tourists,,Total,
,,Number,Revenue,Number,Revenue,Number,Revenue
Dehiwala,2014,"1,249,562","98,383,110","28,823","46,895,300","1,278,385","145,278,410"
,2015,"1,318,185","104,052,560","30,402","48,004,950","1,348,587","152,057,510"
,,,,,,,
Pinnawala,2014,"444,483","32,601,730","320,019","698,874,100","764,502","731,475,830"
,2015,"734,699","54,730,570","362,662","765,973,750","1,097,361","820,704,320"
,,,,,,,
Total,2014,"1,694,045","130,984,840","348,842","745,769,400","2,042,887","876,754,240"
,2015,"2,052,884","158,783,130","393,064","813,978,700","2,445,948","972,761,830"
