0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Resort Region,"No. of  
Units **","Rooms 
**",Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,"Annual 
O/R"
Colombo City,32,"3,966",78.9,74.8,78.5,69.3,74.6,68.5,79.9,84.3,67.5,75.6,78.1,87.3,76.4
,,,,,,,,,,,,,,,
Greater Colombo,61,"3,041",80.3,76.9,78.8,68.8,67.1,67.1,78.6,77.0,68.1,70.9,76.1,82.4,74.3
1. North of Colombo,51,"2,569",83.9,77.2,79.3,70.0,63.9,67.8,79.3,77.5,69.3,70.6,75.1,82.9,74.7
11. South of Colombo,10,472,76.6,76.5,78.4,67.6,70.2,66.3,78.0,76.5,66.9,71.2,77.1,81.8,73.9
,,,,,,,,,,,,,,,
South Coast,128,"6,787",82.2,79.5,76.5,72.5,60.4,65.9,79.2,73.0,71.7,68.7,72.2,82.1,73.6
1. Up to Galle,77,"4,639",82.7,81.5,77.6,72.3,67.3,64.2,78.5,74.4,71.3,71.0,76.3,82.3,74.9
11. Beyond Galle,51,"2,148",81.7,77.5,75.3,72.6,53.6,67.6,79.9,71.7,72.0,66.3,68.1,81.9,72.3
,,,,,,,,,,,,,,,
East Coast,22,895,77.2,81.7,80.3,72.4,62.3,70.4,77.6,79.0,71.1,70.7,68.1,78.9,74.1
,,,,,,,,,,,,,,,
High Country,29,1035,75.9,78.8,80.9,76.8,64.3,74.1,77.1,74.0,70.1,70.2,70.0,84.9,74.8
,,,,,,,,,,,,,,,
Ancient Cities,78,"3,601",80.5,80.9,78.8,74.2,60.6,67.9,78.3,79.9,70.8,69.1,77.2,83.4,75.1
1. Kandy Area,30,"1,542",82.1,82.5,83.1,71.6,62.3,66.7,77.5,84.4,73.0,68.5,79.0,86.8,76.4
11.Anuradhapura Area,18,531,81.3,83.9,80.0,71.8,62.1,68.9,75.9,80.9,70.9,66.7,75.3,84.2,75.1
111.Polonnaruwa/ Giritale,9,413,81.0,82.4,79.4,75.8,60.1,64.3,78.7,76.6,71.5,68.7,74.3,82.9,74.6
1V. Habarana/Sig./Damb.,21,1115,77.6,74.7,72.9,77.4,58.1,71.6,81.2,77.6,67.8,72.4,80.2,79.8,74.3
,,,,,,,,,,,,,,,
Northern Region,4,51,73.3,73.8,73.4,69.3,62.8,75.3,75.1,71.8,66.0,69.9,74.1,79.7,72.0
,,,,,,,,,,,,,,,
All Regions,354,"19,376",79.4,78.8,78.3,72.3,63.5,68.8,78.2,77.4,69.8,70.2,74.6,82.8,74.5
