0,1,2,3,4,5,6,7,8,9
Country of Residence,Total,"Professio
nals","Business
men",Executives,"Educatio
nist","Retired 
persons","No 
occupied","Scientists & 
Technicians","Other 
Occupation"
NORTH AMERICA,"84,943","20,013","10,639","4,795","8,717","4,256","9,227","11,633","15,663"
Canada,"37,732","9,163","3,895","2,156","4,612","1,617","3,430","4,234","8,625"
USA,"47,211","10,850","6,744","2,639","4,105","2,639","5,797","7,399","7,038"
"LATIN AMERICA & THE 
CARIBBEAN","4,628","1,094",594,261,466,229,696,414,874
WESTERN EUROPE,"552,442","150,209","65,309","50,347","43,508","36,775","75,437","42,963","87,894"
Austria,"14,253","4,276","2,451","1,645","1,421",688,745,889,"2,138"
Belgium,"13,054","4,350","1,024",256,"1,280",512,"1,048","1,768","2,816"
Denmark,"15,203","3,456",961,921,"1,612","1,152","1,686","3,382","2,303"
France,"86,126","27,988","10,411","10,977","5,679","7,301","5,628","8,678","9,464"
Netherlands,"32,742","8,324","3,977","3,885","3,145","2,220","4,162","2,127","4,902"
Italy,"24,293","6,356","1,498","1,897","1,980","1,697","3,694","2,013","5,158"
Norway,"12,007","2,356","1,385",461,"1,848",877,"1,385",924,"2,771"
Spain,"15,582","4,209","1,890","1,342","1,104",986,"2,355",904,"2,792"
Sweden,"18,423","4,125","1,842","1,053","1,321","3,158","1,923",263,"4,738"
Switzerland,"22,418","5,346","1,897","1,207","2,759","1,207","3,621","1,552","4,829"
UK,"161,845","45,794","19,626","13,937","9,386","10,240","24,462","9,386","29,014"
Germany,"115,868","28,547","16,106","10,747","10,404","5,870","20,991","9,403","13,800"
Others,"20,628","5,082","2,511","2,019","1,569",867,"3,737","1,674","3,169"
EASTERN EUROPE,"148,458","40,348","34,504","15,991","9,348","1,352","14,639","11,363","20,912"
Russia,"61,846","22,123","10,022","6,356","3,911",734,"5,622","4,767","8,311"
Ukraine,"23,853","6,774","4,634","2,769","1,491",106,"2,662","1,796","3,621"
Others,"62,759","11,451","19,848","6,867","3,946",512,"6,355","4,800","8,980"
AFRICA,"12,899","4,102","1,492","1,190",586,136,"1,729","1,529","2,136"
South Africa,"4,717","1,305",208,295,71,69,901,903,965
Others,"8,182","2,797","1,284",895,514,67,828,626,"1,171"
MIDDLE EAST,"101,066","16,263","14,649","9,208","12,550","3,073","19,004","10,776","15,543"
Saudi Arabia,"36,617","3,526","4,577","1,826","6,103","1,834","10,731","4,167","3,853"
UAE,"10,576","2,067","1,621","1,216","1,134",122,"1,458",891,"2,067"
Isreal,"7,790","1,666","1,375",896,356,587,458,"1,833",619
Kuwait,"6,522","1,274","1,013",723,712,76,899,551,"1,274"
Oman,"14,216","2,778","2,179","1,634","1,525",163,"1,961","1,198","2,778"
Others,"25,345","4,952","3,884","2,913","2,720",291,"3,497","2,136","4,952"
EAST ASIA,"362,857","67,857","97,094","44,699","31,033","21,051","25,643","23,488","51,992"
China (P.R.) **,"214,783","37,960","57,267","30,426","21,548","12,390","10,437","16,951","27,804"
Indonesia,"23,305","4,420","5,625","2,411",804,"1,607","3,214","1,205","4,018"
Japan,"39,358","6,997","13,195","4,434","2,457","1,927","1,077","1,399","7,872"
Malaysia,"22,772","4,319","5,497","2,356",785,"1,570","3,141","1,178","3,926"
Philippines,"11,305","2,144","2,729","1,169",390,780,"1,559",585,"1,949"
Singapore,"15,846","4,079","4,890","1,098","1,412",609,"1,569",463,"1,726"
Thailand,"10,112","2,603","2,904",701,901,613,988,301,"1,101"
South Korea,"14,373","2,875","1,916","1,153","2,056","1,012","2,354",958,"2,049"
Others,"11,003","2,460","3,071",950,680,543,"1,304",448,"1,547"
SOUTH ASIA,"459,415","106,476","156,174","44,620","23,531","24,892","21,746","19,226","62,750"
India,"316,247","77,858","119,897","20,869","16,856","16,053","14,949","10,435","39,330"
Maldives,"90,617","17,186","21,873","19,374","3,125","6,249","2,499","4,687","15,624"
Pakistan,"32,300","7,220","9,015","2,790","1,996","1,594","1,827","3,315","4,543"
Bangladesh,"13,358","2,986","3,728","1,154",825,659,"1,583",544,"1,879"
Others,"6,893","1,225","1,661",433,729,337,888,245,"1,374"
AUSTRALIA,"71,672","16,326","8,224","6,709","5,524","8,357","8,979","6,107","11,447"
Australia,"63,554","14,958","6,934","5,879","4,389","7,689","7,779","5,567","10,359"
New Zealand,"7,762","1,276","1,270",789,"1,087",634,"1,154",517,"1,035"
Others,356,92,20,40,48,34,46,23,53
TOTAL,"1,798,380","422,688","388,679","177,820","135,262","100,121","177,100","127,499","269,211"
