0,1,2,3,4,5,6,7,8,9,10,11,12
COUNTRY,TOTAL,"SRILANKAN 
AIRLINES",EMIRARES,"QATAR  
AIRLINES","ETIHAD 
AIRWAYS","MIHIN
LANKA
AIR LINE",SINGAPORE  AL,"CATHEY 
PACIFIC",FLY DUBAI,AIR ASIA  X,AIR_ARABIA,"AIR ASIA
Table 5"
NORTH AMERICA,"91,956","37,495","14,628","10,859","4,509","1,545","1,586","3,757","1,526","1,021",408,184
Canada,"38,897","20,099","4,118","4,540","1,333",438,330,"1,119",406,422,171,77
USA,"53,059","17,396","10,510","6,319","3,176","1,107","1,256","2,638","1,120",599,237,107
LATIN AMERICA & CARIBBEAN,"5,698","1,580","1,154",762,370,132,101,95,188,145,49,29
WESTERN EUROPE,"599,415","185,745","177,311","92,823","35,227","2,515","2,535","3,244","5,545","3,957","1,200",879
Austria,"14,968","2,627","5,475","3,440","1,241",29,29,29,240,72,10,10
Belgium,"14,239","2,348","3,667","3,869","1,257",42,42,41,158,76,24,20
Denmark,"15,339","5,079","4,471","3,036",560,50,63,33,129,98,22,26
Finland,"3,765","1,713",387,254,93,13,10,17,94,93,40,26
France,"96,505","33,273","20,387","17,598","2,953",303,350,450,756,639,225,101
Netherlands,"33,087","5,939","18,247","2,831","2,257",132,103,126,177,280,49,78
Italy,"25,162","6,276","8,940","3,631","1,406",101,95,74,244,120,56,23
Norway,"12,630","3,183","3,876","4,047",227,37,26,23,40,80,8,16
Spain,"16,315","4,110","5,123","3,221",430,113,65,56,241,144,45,119
Sweden,"17,615","3,999","4,092","6,048",831,86,58,65,128,185,12,44
Switzerland,"23,428","3,331","9,922","4,470","2,059",86,98,88,67,98,11,15
UK,"175,559","68,889","47,609","19,255","5,393","1,174","1,244","1,882","2,279","1,309",447,253
Germany,"125,376","38,014","36,751","19,606","16,045",246,249,237,534,509,170,94
Others,"25,427","6,964","8,364","1,517",475,103,103,123,458,254,81,54
Eastern Europe,"125,284","16,079","18,123","13,242","8,196",349,86,152,"28,838",683,"22,766",92
Russia,"63,648","6,139","12,347","9,502","6,024",180,30,90,"13,693",368,"9,209",50
Ukraine,"22,961",874,"1,222",435,323,39,10,18,"10,777",110,"8,067",23
Others,"38,675","9,066","4,554","3,305","1,849",130,46,44,"4,368",205,"5,490",19
Africa,"14,473","2,951","3,733","1,626",669,"1,978",107,91,725,68,480,23
Middle East,"101,676","20,982","8,438","12,166","4,947","2,867",118,"2,392","7,090",391,"8,223",44
Asia,"787,483","356,274","54,323","4,541","1,648","35,585","23,308","45,498","3,986","33,591","3,048","4,116"
China,"224,210","95,186","2,718",861,258,"1,316","3,740","31,745",411,"22,240",515,"1,584"
Indonesia,"19,182",616,256,93,31,"8,677",690,41,14,443,8,106
Japan,"45,418","26,673",956,365,98,346,"5,841","3,060",62,934,13,100
Malaysia,"21,771","6,199",771,91,37,109,715,134,28,"7,523",6,"1,939"
Philippines,"7,156",152,"1,624",443,208,104,787,324,638,206,228,35
Singapore,"16,647","5,930","4,484",101,25,81,"5,016",152,20,180,4,69
Thailand,"10,372","5,895",102,40,16,34,34,"1,595",11,89,4,16
Taiwan,"5,856","1,688",133,15,7,52,816,"2,241",8,291,4,28
South Korea,"15,727","2,166",797,129,55,167,"1,355","1,372",66,373,11,29
India,"278,017","137,532","6,183","1,934",711,"15,977",795,401,"2,359",326,"2,148",83
Maldives,"95,248","53,811","35,145",106,50,"2,529",129,67,42,210,12,33
Bangladesh,"10,860","3,757",603,80,31,"4,833",36,12,31,110,60,13
Others,"37,019","16,669",551,283,121,"1,360","3,354","4,354",296,666,35,81
Australasia,"72,395","16,107","13,219","1,072",829,525,"17,541","1,851",577,"4,209",106,979
Australia,"64,097","14,019","11,993",867,695,440,"15,529","1,662",406,"3,860",77,902
New Zealand,"8,003","2,045","1,189",201,132,71,"1,981",170,171,346,29,75
Others,295,43,37,4,2,14,31,19,‐,3,‐,2
TOTAL,"1,798,380","637,213","290,929","137,091","56,395","45,496","45,382","57,080","48,475","44,065","36,280","6,346"
