0,1,2,3,4,5
"Country of 
Residence",2011,2012,2013,2014,2015
NORTH AMERICA,"49,057","59,236","65,616","72,653","84,943"
Canada,"24,671","29,329","30,926","33,282","37,732"
U.S.A.,"24,386","29,907","34,690","39,371","47,211"
CARIBBEAN,"1,036","1,626","3,166","4,124","4,628"
WESTERN EUROPE,"315,210","373,063","421,037","479,007","552,442"
Austria,"6,262","7,991","11,300","12,664","14,253"
Belgium,"10,122","11,323","9,138","9,915","13,054"
Denmark,"6,582","8,323","9,845","11,239","15,203"
Finland,"3,649","4,840","2,471","2,903","3,830"
France,"48,695","56,863","64,388","78,883","86,126"
Germany,"55,882","71,642","85,470","102,977","115,868"
Italy,"13,527","15,871","17,982","21,116","24,293"
Netherlands,"23,966","26,754","22,281","24,196","32,742"
Norway,"4,977","7,703","8,573","9,237","12,007"
Spain,"5,886","8,319","8,183","11,914","15,582"
Sweden,"10,937","13,775","12,597","14,259","18,423"
Switzerland,"14,110","20,054","19,141","20,097","22,418"
U.K.,"106,082","114,218","137,416","144,168","161,845"
Others,"4,533","5,387","12,252","15,439","16,798"
EASTERN EUROPE,"49,249","72,401","125,695","154,153","148,458"
Russia,"21,385","28,402","51,235","69,718","61,846"
Ukraine,"9,967","22,348","38,607","29,882","23,853"
Others,"17,897","21,651","35,853","54,553","62,759"
MIDDLE EAST,"57,501","56,169","80,509","88,991","101,066"
AFRICA,"3,614","5,045","8,081","12,163","12,899"
South Africa,"1,962","3,048","3,366","4,155","4,717"
Others,"1,652","1,997","4,715","8,008","8,182"
EAST ASIA,"96,194","132,730","183,097","280,511","362,857"
China (P.R.),"18,507","27,316","54,288","128,166","214,783"
Indonesia,"2,049","2,890","17,295","29,558","23,305"
Japan,"20,586","26,085","31,505","39,136","39,358"
Korea (South),"5,485","7,838","12,207","13,412","14,373"
Malaysia,"16,094","21,776","19,181","23,178","22,772"
Philippines,"2,047","5,687","14,616","11,160","11,305"
Singapore,"15,953","17,273","15,546","15,762","15,846"
Thailand,"5,880","7,897","9,608","9,260","10,112"
Taiwan (P.C),"7,010","12,703","3,931","5,193","5,330"
Others,"2,583","3,265","4,920","5,686","5,673"
SOUTH ASIA,"237,647","247,559","326,556","370,299","459,415"
Bangladesh,"4,726","4,646","10,037","10,754","13,358"
India,"171,374","176,340","208,795","242,734","316,247"
Maldives,"44,018","47,572","79,474","86,359","90,617"
Nepal,826,"1,038","2,019","3,319","5,801"
Pakistan,"14,724","16,056","25,336","25,424","32,300"
Others,"1,979","1,907",895,"1,709","1,092"
AUSTRALASIA,"46,467","57,776","60,836","65,252","71,672"
Australia,"41,728","51,614","54,252","57,940","63,554"
New Zealand,"4,212","5,641","6,174","6,880","7,762"
Others,527,521,410,432,356
Total,"855,975","1,005,605","1,274,593","1,527,153","1,798,380"
