0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Class
of
Accommodation","No.
of
Units",,"No.
of
Rooms",,"No.
of
Beds",,"Total
Guest
Nights*",,"Foreign
Guest
Nights*",,"Local
Guest
Nights*",,"Room
Occupancy
Rate*",
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,,,
(A) Hotel **,334,354,"18,510","19,376","36,828","38,370","10,054,996","10,533,603","7,982,110","8,945,380","2,072,886","1,588,223",74.3,74.5
5 Star,14,13,"3,152","2,744","6,265","5,454","1,979,280","1,912,403","1,773,396","1,711,230","205,884","201,173",74.8,74.9
4 Star,18,18,"2,084","2,084","4,064","4,064","1,416,389","1,514,224","1,232,036","1,324,038","184,353","190,186",74.9,75.1
3 Star,14,15,"1,061","1,469","2,142","2,966","894,836","1,015,385","808,912","920,063","85,924","95,323",73.9,74.3
2 Star,33,33,"1,725","1,725","3,381","3,381","1,046,087","1,088,869","882,389","982,486","163,698","106,383",73.4,73.6
1 Star,34,34,"1,333","1,330","2,602","2,606","927,537","961,736","769,420","829,016","158,117","132,720",72.9,73.2
,,,,,,,,,,,,,,
"Small Luxury
Hotel(Boutique 
Hotel)",24,24,432,432,907,907,"249,670","225,457","195,991","176,871","53,679","48,586",75.4,75.1
,,,,,,,,,,,,,,
Unclassified,197,217,"8,723","9,592","17,467","18,992","3,541,197","3,815,528","2,319,966","3,001,676","1,221,231","813,852",75.1,75.3
,,,,,,,,,,,,,,
(B) Supplementary,,,,,,,,,,,,,,
Establishments**,"1,265","1,409","9,916","10,702","18,340","20,211","4,108,565","4,985,957","3,596,548","4,349,313","512,017","636,644",77.8,78.0
