0,1,2,3,4,5,6
Port,Total,,Sri Lankan Residents,,Foreign Tourists (1),
,Arrivals,Departures,Arrivals,Departures,Arrivals,Departures
Katunayake,"3,222,647","3,209,259","1,359,386","1,353,115","1,772,749","1,856,144"
Mattala,997,"1,513",580,861,417,652
,,,,,,
TOTAL AIR,"3,223,644","3,210,772","1,359,966","1,353,976","1,773,166","1,856,796"
,,,,,,
Colombo Harbour,"6,786","7,474",695,"1,153","6,091","6,321"
Galle Harbour,"20,339","18,474","1,216","1,282","19,123","17,192"
,,,,,,
TOTAL SEA,"27,125","25,948","1,911","2,435","25,214","23,513"
,,,,,,
Grand Total,"3,250,769","3,236,720","1,361,877","1,356,411","1,798,380","1,880,309"
