0,1,2,3,4,5,6,7
Rank,Country of,,,,,,
,,2017,2018,2019,2020,2021,2022
,Residence,,,,,,
1,India,"384,628","424,887","355,002","89,357","56,268","123,004"
2,United Kingdom,"201,879","254,176","198,776","55,455","16,894","85,187"
3,China ( PR),"268,952","265,965","167,863","26,147","2,417","4,715"
4,Germany,"130,227","156,888","134,899","34,507","12,442","55,542"
5,Australia,"81,281","110,928","92,674","20,283","4,421","30,924"
6,France,"97,282","106,449","87,623","24,838","6,549","35,482"
7,Russia,"59,191","64,497","86,549","49,397","16,894","91,272"
8,United States,"57,479","75,308","68,832","16,842","6,124","22,230"
9,Maldives,"79,371","76,108","60,278","9,407","6,124","18,880"
10,Canada,"46,896","52,681","48,729","12,436","5,079","26,845"
11,Netherlands,"51,148","57,160","38,993","8,656","2,422","11,987"
12,Italy,"31,428","38,379","36,147","8,603","1,309","7,449"
13,Ukraine,"32,346","36,515","35,051","17,169","7,037","14,917"
14,Japan,"44,988","49,450","30,079","6,644",392,"3,087"
15,Switzerland,"28,402","33,965","29,981","6,389","2,974","13,260"
16,Spain,"22,361","29,208","24,489","3,385","2,015","12,895"
17,Sweden,"24,275","28,267","22,464","7,061","1,601","5,097"
18,Poland,"15,346","20,378","20,896","11,908","2,110","15,195"
19,Czech Republic,"15,712","17,600","19,204","7,599","1,864","7,350"
20,Denmark,"18,647","19,223","16,869","4,905","1,302","7,278"
21,Malaysia,"26,414","22,808","16,861","3,494",323,"2,779"
22,Saudi Arabia,"35,481","34,703","15,707","4,755","1,596","5,952"
23,Belgium,"14,616","17,519","14,948","3,371","1,283","6,164"
24,Israel,"11,080","13,833","14,770","3,556","1,724","9,326"
25,Austria,"17,466","19,320","14,713","4,300","1,502","5,541"
26,Pakistan,"31,815","19,116","14,655","3,065","7,520","6,260"
27,Philippines,"16,845","19,303","14,590","4,249",529,"1,961"
28,Singapore,"19,457","19,861","13,871","2,545",557,"3,770"
29,Norway,"14,159","17,217","13,446","3,019","1,141","5,983"
30,New Zealand,"10,332","13,825","12,463","2,324",325,"2,866"
31,South Korea,"15,963","15,748","12,195","2,499",389,"1,843"
32,Thailand,"10,828","9,178","9,861","1,880",247,"1,725"
33,Bangladesh,"15,510","10,487","8,261","1,986","1,496","3,817"
34,Ireland,"9,806","10,830","8,254","2,294",559,"3,056"
35,South Africa,"5,726","7,416","7,132","1,364",272,"1,502"
