0,1,2,3,4,5,6,7,8,9,10
SOUTH EAST ASIA,"84,013","31,814","11,273","5,512","13,315","8,723","7,365","3,921",910,"1,180"
Cambodia,771,110,223,8,59,31,305,27,4,4
Indonesia,"5,365","1,929","1,398",11,564,444,564,314,98,43
Malaysia,"22,808","8,572","1,681","2,143","4,498","2,075","2,181","1,204",234,220
Myanmar,"3,241","1,131",628,26,284,423,384,344,8,13
Philippines,"19,303","8,890","2,794",229,"3,073","1,676","1,245",635,253,508
Singapore,"19,861","7,464","1,464","1,866","3,917","1,807","1,899","1,048",205,191
Thailand,"9,178","2,121","2,698","1,092",515,"1,850",591,216,32,63
Vietnam,"3,189","1,528",357,107,375,402,188,125,53,54
Others,297,69,30,30,30,15,8,8,23,84
SOUTH ASIA,"543,160","153,565","122,710","21,790","33,901","120,365","57,959","22,648","5,597","4,625"
Afghanistan,861,198,23,58,163,151,70,58,47,93
Bangladesh,"10,487","3,259","2,889",80,370,"2,079","1,240",540,10,20
Bhutan,679,181,232,6,17,45,96,34,28,40
India,"424,887","112,400","99,796","19,041","24,890","99,043","48,562","15,029","3,702","2,424"
Iran,"5,720","2,479",699,64,763,318,318,763,62,254
Maldives,"76,108",27981,16042,2238,5596,10819,5596,4850,1494,1492
Nepal,"5,302","1,930","1,107",154,386,746,386,335,155,103
Pakistan,"19,116","5,137","1,922",149,"1,716","7,164","1,691","1,039",99,199
OCEANIA,"125,067","47,764","10,389","22,443","13,217","3,512","13,255","10,863","2,299","1,325"
Australia,"110,928","42,050","9,129","20,742","11,461","3,062","11,734","9,618","2,046","1,086"
New Zealand,"13,825","5,639","1,219","1,687","1,681",423,"1,501","1,225",238,212
Others,314,75,41,14,75,27,20,20,15,27
Total,"2,333,796","800,774","466,956","250,454","248,237","196,393","174,574","137,199","29,778","29,431"
