0,1,2,3,4,5,6,7,8,9,10
,,GENDER,,,,,AGE,,,
Country of Residence,Total,,,,,,,,,
,,Male,Female,(3-19),(20-29),(30-39),,(40-49),(50-59),(60 & above)
AMERICA,"137,624","69,309","68,315","20,503","18,004","25,374",,"22,144","22,887","28,712"
NORTH AMERICA,"129,492","65,589","63,903","20,047","16,160","22,449",,"20,924","22,017","27,895"
Canda,"52,681","26,743","25,938","9,661","5,892","7,405",,"8,394","10,005","11,324"
Mexico,"1,503",687,816,90,349,537,,244,155,128
United States,"75,308","38,159","37,149","10,296","9,919","14,507",,"12,286","11,857","16,443"
CARIBBEAN &,,,,,,,,,,
,910,467,443,63,146,232,,180,153,136
CENTRAL AMERICA,,,,,,,,,,
Costa Rica,132,66,66,2,12,27,,19,32,40
Jamaica,102,57,45,1,15,27,,30,19,10
Others,676,344,332,60,119,178,,131,102,86
SOUTH AMERICA,"7,222","3,253","3,969",393,"1,698","2,693",,"1,040",717,681
Argen(cid:415) na,"1,809",871,938,63,400,612,,270,225,239
Brazil,"2,774","1,237","1,537",205,553,"1,059",,445,248,264
Chile,"1,002",454,548,38,292,407,,116,90,59
Colombia,702,252,450,42,199,261,,92,59,49
Others,935,439,496,45,254,354,,117,95,70
EUROPE,"1,017,861","489,129","528,732","122,217","210,134","211,609",,"150,920","166,755","156,226"
NORTHERN EUROPE,"339,047","169,898","169,149","49,628","60,099","58,088",,"48,291","56,413","66,528"
Denmark,"19,223","8,782","10,441","3,091","4,917","2,248",,"2,398","3,131","3,438"
Finland,"8,888","3,995","4,893",705,"2,066","2,010",,"1,094","1,248","1,765"
Norway,"17,217","8,193","9,024","2,987","3,817","2,559",,"2,498","3,037","2,319"
Sweden,"28,267","13,577","14,690","3,487","5,660","4,953",,"3,481","4,443","6,243"
United Kingdom,"254,176","130,258","123,918","38,478","40,520","42,878",,"37,424","43,279","51,597"
Others,"11,276","5,093","6,183",880,"3,119","3,440",,"1,396","1,275","1,166"
WESTERN EUROPE,"392,356","184,073","208,283","47,357","86,914","68,334",,"50,423","73,839","65,489"
Austria,"19,320","8,647","10,673","1,117","4,675","3,577",,"2,231","3,928","3,792"
Belgium,"17,519","8,260","9,259","2,626","4,674","2,563",,"2,518","2,811","2,327"
France,"106,449","50,810","55,639","15,381","19,659","19,008",,"15,271","17,419","19,711"
Germany,"156,888","72,785","84,103","14,311","35,802","29,082",,"18,341","33,494","25,858"
Netherlands,"57,160","26,991","30,169","8,117","14,810","8,579",,"6,903","9,788","8,963"
Switzerland,"33,965","16,109","17,856","5,695","7,069","5,297",,"5,042","6,240","4,622"
Others,"1,055",471,584,110,225,228,,117,159,216
CENTRAL / EASTERN,,,,,,,,,,
,"176,905","78,609","98,296","16,639","39,321","55,185",,"32,804","21,349","11,607"
EUROPE,,,,,,,,,,
Belarus,"4,621","1,966","2,655",391,"1,322","1,537",,753,463,155
Czech Republic,"17,600","7,915","9,685","1,664","3,869","3,926",,"3,541","2,626","1,974"
Estonia,"2,744","1,179","1,565",332,367,729,,575,466,275
Hungary,"4,514","2,051","2,463",324,671,"1,241",,967,631,680
Kazakhstan,"2,721","1,022","1,699",378,597,766,,469,349,162
Lithuania,"3,386","1,464","1,922",204,745,909,,656,581,291
Poland,"20,378","9,460","10,918","2,166","3,450","5,588",,"4,348","2,713","2,113"
Romania,"5,931","2,814","3,117",424,"1,040","2,345",,"1,173",606,343
Russian Federa(cid:415) on,"64,497","27,650","36,847","6,235","14,664","21,673",,"10,915","7,713","3,297"
