0,1,2,3,4,5,6,7,8,9,10
,,GENDER,,,,,AGE,,,
Country of Residence,Total,,,,,,,,,
,,Male,Female,(3-19),(20-29),(30-39),,(40-49),(50-59),(60 & above)
Malaysia,"22,808","12,081","10,727","1,330","2,886","4,929",,"4,871","4,450","4,342"
Myanmar,"3,241","1,403","1,838",63,357,597,,719,764,741
Philippines,"19,303","9,023","10,280",655,"4,846","7,693",,"3,890","1,683",536
Singapore,"19,861","10,941","8,920","1,123","2,438","4,002",,"4,494","4,434","3,370"
Thailand,"9,178","3,722","5,456",281,"1,135","2,238",,"1,990","1,720","1,814"
Vietnam,"3,189","1,349","1,840",138,728,"1,062",,638,324,299
Others,297,143,154,13,64,86,,60,46,28
SOUTH ASIA,"543,160","354,712","188,448","49,974","83,445","143,008",,"120,682","79,511","66,540"
Afghanistan,861,677,184,35,242,344,,146,69,25
Bangladesh,"10,487","7,557","2,930","1,033","1,982","3,039",,"2,387","1,370",676
Bhutan,679,397,282,20,102,210,,162,98,87
India,"424,887","280,440","144,447","37,197","61,603","109,179",,"95,235","64,196","57,477"
Iran,"5,720","3,157","2,563",656,878,"2,103",,"1,017",643,423
Maldives,"76,108","45,378","30,730","8,560","14,101","20,548",,"16,613","10,274","6,012"
Nepal,"5,302","3,586","1,716",279,896,"1,835",,"1,340",622,330
Pakistan,"19,116","13,520","5,596","2,194","3,641","5,750",,"3,782","2,239","1,510"
OCEANIA,"125,067","62,425","62,642","17,195","17,555","21,525",,"18,735","21,276","28,781"
Australia,"110,928","55,192","55,736","15,344","15,122","18,876",,"16,458","18,836","26,292"
New Zealand,"13,825","7,048","6,777","1,835","2,382","2,554",,"2,199","2,391","2,464"
Others,314,185,129,16,51,95,,78,49,25
Total,"2,333,796","1,210,601","1,123,195","266,343","423,800","523,332",,"406,690","364,025","349,606"
