0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Chart 3: Tourist Arrivals Growth Change – 2001 to 2018,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,46.1,,,,,,
40.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,30.8,,,,,
30.0,,,27.3,,,,,,,,,,26.7,,,
20.0,,,,,,,,,,,,,,,17.8,
% Change,16.7,,,,,,,,,,,,19.8,,14,
,,,,,13.1,,,,,,,,,,,10.3
,,,,,,,,,,,,17.5,,,,
10.0,,,,,,,,,,,,,,,,
,,,,,,1.9,,,,,,,,,,
,,,,,,,,,,2.1,,,,,,
,,,,,,,,,,,,,,,,3.2
0.0,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15 16,17 18
,,,,,(3.0),,,,,,,,,,,
-10.0,,,,,,,,,,,,,,,,
,,(15.9),,,,,(11.7),,(11.2),,,,,,,
-20.0,,,,,,,,,,,,,,,,
,,,,,,,,,,Year,,,,,,
