0,1,2,3,4,5,6,7,8,9,10
Table 5 - Percentage Distribu(cid:415) on of Tourist Arrivals by Ports – 2009- 2018,,,,,,,,,,
Port,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Katunayake (BIA),99.9,99.9,99.8,99.7,98.8,98.1,98.6,98.7,98.30,96.28
Ma(cid:425) ala   (MRIA),−,−,−,−,0.1,0.1,0.0,0.1,0.65,0.04
TOTAL AIR,99.9,99.9,99.8,99.7,98.9,98.2,98.6,98.8,98.95,96.32
Galle Harbour,−,−,−,−,0.8,1.4,1.1,0.4,0.53,0.62
Colombo Harbour,0.1,0.1,0.2,0.3,0.3,0.4,0.3,0.8,0.48,2.94
Other Ports,−,−,−,−,−,−,−,−,0.04,0.12
TOTAL SEA,0.1,0.1,0.2,0.3,1.1,1.8,1.4,1.2,1.05,3.68
Total,100,100,100,100,100,100,100.01,100,100.00,100.00
