0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Table 3 (Contd),,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Seasonality Ra(cid:415) o(2),Coeﬃ  cient,of Seasonal,Varia(cid:415) on (3)
2001,157,166,158,131,96,101,102,56,42,46,62,83,1.4,,43,
2002,86,97,101,83,81,80,109,108,101,111,114,129,1.5,,15,
2003,97,94,98,81,72,76,105,101,86,120,132,138,1.4,,23,
2004,106,92,81,65,64,68,107,103,109,126,138,140,1.4,,26,
2005,114,115,120,109,96,96,121,116,84,85,82,86,1.1,,15,
2006,112,113,117,107,94,94,119,114,83,83,81,84,1.2,,15,
2007,137,105,85,80,64,75,107,109,90,90,110,148,1.5,,25,
2008,156,111,104,81,85,77,90,84,81,96,101,134,1.6,,24,
2009,103,92,91,70,66,81,113,110,102,101,119,152,1.5,,23,
2010,93,105,96,70,65,82,116,102,87,96,132,155,1.6,,25,
2011,104,92,105,89,69,75,117,102,84,98,127,137,1.4,,20,
2012,102,100,109,83,69,78,108,95,85,96,130,146,1.5,,22,
2013,104,107,107,76,70,85,101,116,85,101,103,145,1.4,,20,
2014,115,111,104,88,70,81,105,110,82,95,94,140,1.4,,19,
2015,104,110,105,82,76,77,117,111,96,88,96,138,1.4,,18,
2016,114,116,113,80,73,69,122,109,87,88,98,132,1.3,,20,
2017,124,112,107,91,69,70,117,108,82,86,95,139,1.4,,22,
2018,123,121,120,93,67,75,112,103,77,79,101,130,1.3,,22,
