0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Year1970,"Tourist Arrivals 46,247","Excursionist Arrivals68,529",Tourist Nights‘000489,Rs. Mn21.5,US$ Mn3.6,Euro,SDR Mn3.6,day Receipt per7.4,Average Dura(cid:415) on Nights10.5,"Rooms1,408","Beds2,816",Rate Annual Room42.8,Arrival-,Departure-,"Direct5,138","Indirect6,940"
1971,"39,654","58,292",395,20.3,3.4,,3.4,8.6,10.5,"1,767","3,534",31.1,-,-,"6,397","8,640"
1972,"56,047","48,310",614,43.8,7.3,,6.5,11.9,10.9,"1,891","3,646",38.8,"26,624","32,971","7,040","9,500"
1973,"77,888","27,920",804,79.5,12.8,,10.4,15.9,10.3,"2,468","4,801",42.4,"35,188","42,305","7,134","10,780"
1974,"85,011","23,434",874,107.1,16.4,,13.3,18.7,10.3,"2,905","5,699",39.7,"37,868","44,825","8,551","11,550"
1975,"103,204","25,490","1,015",157.1,22.4,,18.6,22,9.8,"3,632","7,142",36.8,"46,999","53,848","10,148","13,700"
1976,"118,971","14,499","1,194",237.8,28.2,,24.5,23.8,10,"4,581","8,913",37.7,"46,425","53,305","11,752","15,900"
1977,"153,665","7,672","1,645",363.1,40,,34.8,24.3,10.7,"4,851","9,447",42,"58,992","66,900","13,716","18,520"
1978,"192,592","8,494","2,061",870,55.8,,44.4,27.1,10.8,"5,347","10,431",47.7,"102,142","117,075","15,404","20,795"
1979,"250,164","5,565","2,777","1,209.40",77.7,,60.1,28,11.1,"5,599","11,212",52.8,"100,603","122,197","18,472","24,937"
1980,"321,780","8,636","3,548","1,830.30",110.7,,85.1,31.2,11,"6,042","11,790",57.8,"105,484","137,797","19,878","28,022"
1981,"370,742","7,737","3,907","2,546.50",132.4,,112.3,33.9,10.5,"6,891","13,773",54.5,"142,426","185,035","23,023","32,232"
1982,"407,230","6,632","4,048","3,050.40",146.6,,129.8,36.2,10,"7,539","15,001",47.8,"162,034","216,466","26,776","37,486"
1983,"337,530","7,208","3,179","2,896.10",125.8,,115.1,39.6,9.6,"8,852","17,605",35.9,"180,729","244,955","22,374","31,234"
1984,"317,734","8,638","2,818","2,669.50",104.9,,102.4,37.2,8.9,"9,627","18,970",35.6,"212,365","274,418","24,541","34,357"
1985,"257,456","9,882","2,365","2,233.30",82.2,,80.8,34.8,9.2,"9,826","19,352",32.7,"220,094","239,272","22,723","31,810"
1986,"230,106","6,266","2,513","2,300.10",82.1,,69.9,32.7,10.9,"9,794","19,301",32.9,"220,614","229,386","22,285","31,199"
1987,"182,620","2,417","2,414","2,415.20",82,,63.4,34,13.2,"9,921","19,322",31.5,"217,127","257,760","20,338","28,473"
1988,"182,662","6,108","2,305","2,438.30",76.6,,57,33.3,12.6,"9,977","19,432",32.1,"245,065","298,583","19,960","27,944"
1989,"184,732","4,064","1,970","2,739.70",76,,59.3,38.6,10.7,"9,459","18,464",31,"258,950","285,510","21,958","30,741"
1990,"297,888","3,954","3,225","5,303.30",132,,97.5,41.1,10.8,"9,556","18,669",47.2,"306,367","296,884","24,964","34,950"
1991,"317,703","2,665","3,633","6,485.80",156.8,,114.6,42.8,11.4,"9,679","18,947",48.4,"237,424","310,373","26,878","37,629"
1992,"393,669","5,651","4,055","8,825.60",201.4,,142.9,49.7,10.3,"10,214","19,907",55.3,"339,109","420,749","28,790","40,306"
1993,"392,250","6,093","4,148","10,036.80",208,,149,50.1,10.6,"10,365","20,242",57,"375,740","416,246","30,710","42,994"
1994,"407,511","8,413","4,251","11,401.60",230.7,,161.1,54.2,10.4,"10,742","20,929",56.6,"422,367","448,437","33,956","47,538"
1995,"403,101","10,556","4,024","11,551.60",225.4,,148.6,56.1,10,"11,255","21,680",52.6,"459,441","504,420","35,068","49,095"
1996,"302,265","12,863","2,947","9,559.10",173,,119.1,57.9,9.8,"11,600","22,040",40.3,"488,055","494,258","31,963","44,748"
1997,"366,165","18,265","3,680","12,980.30",216.7,,160.4,58.6,10.1,"12,370","22,944",49.1,"482,850","530,712","34,006","47,608"
1998,"381,063","27,629","3,944","14,868.00",230.5,,169.9,59.5,10.4,"12,770","23,373",52.8,"481,793","518,050","34,780","48,692"
1999,"436,440","28,335","4,479","19,297.30",274.9,,201,61.4,10.3,"12,918","24,216",57.6,"521,073","496,963","36,560","51,184"
2000,"400,414","44,518","4,056","19,162.20",252.8,274.1,191.9,62.3,10.1,"13,311","24,953",52.3,"514,448","524,212","37,943","53,120"
