0,1,2,3,4,5,6,7
Table 34 ( a) - Revenue by Loca(cid:415) on - 2017 & 2018,,,,,,,
Loca(cid:415) on,Year,Domes(cid:415) c Tourists,,Foreign Tourists,,Total,
,,Number,Revenue,Number,Revenue,Number,Revenue
Dehiwala,2017,"1,360,566","108,123,900","27,626","42,198,850","1,388,192","150,322,750"
,2018,"1,537,694","123,979,270","30,902","45,423,350","1,568,596","169,402,620"
Pinnawala,2017,"611,584","44,793,230","339,744","683,990,550","951,328","728,783,780"
,2018,"588,266","43,471,530","337,662","649,507,550","925,928","692,979,080"
Pinnawala Zoo,2017,"253,266","19,491,570","1,559","1,278,000","254,825","20,769,570"
,2018,"301,699","22,829,620","3,788","2,369,250","305,487","25,198,870"
Ridiyagama Safari Park,2017,"290,854","63,801,100",756,"1,513,250","291,610","65,314,350"
,2018,"296,576","68,367,370",754,"1,541,250","297,330","69,908,620"
Total,2017,"2,516,270","236,209,800","369,685","728,980,650","2,885,955","965,190,450"
,2018,"2,724,235","258,647,790","373,106","698,841,400","3,097,341","957,489,190"
