0,1,2,3,4,5,6,7,8,9,10,11
Country of ResidencePoland,"Total20,378","Pleasure/ Vaca(cid:415) on19,212",Visi(cid:415) ng Friends & Rela(cid:415) ves727,Business213,MICE75,Health100,sports49,Educa(cid:415) on2,Religious0,Oﬃ  cial0,Others0
Romania,"5,931","5,406",335,72,55,23,40,0,0,0,0
Russian Federa(cid:415) on,"64,497","60,015","3,187",252,123,430,452,38,0,0,0
Slovakia,"5,289","4,789",55,20,15,405,5,0,0,0,0
Ukraine,"36,515","32,729","3,124",192,156,146,165,3,0,0,0
Others,"8,709","7,738",508,186,133,47,92,5,0,0,0
SOUTHERN /,,,,,,,,,,,
MEDITERRANEAN,"109,553","98,713","5,443","3,136","1,414",443,374,18,4,6,2
EUROPE,,,,,,,,,,,
Greece,"7,778","6,406",263,760,320,12,17,0,0,0,0
Israel,"13,793","12,693",708,206,79,11,86,6,4,0,0
Italy,"38,379","33,309","3,195","1,170",389,217,85,8,0,6,0
Portugal,"5,933","5,489",202,145,77,8,12,0,0,0,0
Spain,"29,208","27,756",625,454,203,77,89,2,0,0,2
Turkey,"4,262","3,431",189,299,256,28,59,0,0,0,0
Others,"10,200","9,629",261,102,90,90,26,2,0,0,0
MIDDLE EAST,"71,636","63,453","5,454",390,473,299,"1,546",16,0,5,0
Bahrain,"2,858","2,553",210,29,23,33,10,0,0,0,0
Egypt,"3,854","3,354",155,132,100,8,100,4,0,1,0
Iraq,"1,021",933,22,7,26,0,33,0,0,0,0
Jordan,"3,156","2,841",93,44,96,6,76,0,0,0,0
Kuwait,"3,465","3,049",339,13,0,15,41,8,0,0,0
Lebanon,"5,521","5,219",117,55,60,18,51,0,0,1,0
Oman,"6,846","6,112",530,28,68,8,100,0,0,0,0
Qatar,"1,676","1,411",199,2,12,0,52,0,0,0,0
Saudi Arabia,"34,703","30,393","3,029",47,44,190,993,4,0,3,0
United Arab Emirates,"5,785","5,119",593,11,5,5,52,0,0,0,0
Others,"2,751","2,469",167,22,39,16,38,0,0,0,0
AFRICA,"14,877","11,790","1,118",633,878,38,398,3,10,4,5
NORTH AFRICA,"2,991","2,677",152,65,54,8,34,0,0,1,0
Morocco,"1,036",947,61,10,7,8,3,0,0,0,0
Sudan,858,761,20,36,14,0,27,0,0,0,0
Others,"1,097",969,71,19,33,0,4,0,0,1,0
SUB  - SAHARAN,,,,,,,,,,,
,"11,886","9,113",966,568,824,30,364,3,10,3,5
AFRICA,,,,,,,,,,,
Kenya,874,579,110,59,111,0,15,0,0,0,0
Mauri(cid:415) us,720,512,122,44,25,4,10,3,0,0,0
Nigeria,412,152,26,70,160,0,2,0,2,0,0
South  Africa,"7,416","6,414",379,214,157,9,235,0,8,0,0
Others,"2,464","1,456",329,181,371,17,102,0,0,3,5
ASIA & PACIFIC,"1,091,798","877,249","94,420","71,991","27,637","6,912","8,304",979,"2,015","1,453",838
NORTH EAST  ASIA,"339,558","315,867","6,573","11,312","4,079",971,591,99,13,3,50
China,"265,965","256,011","2,700","4,609","2,276",43,224,77,6,0,19
Japan,"49,450","40,087","2,324","4,850","1,026",901,213,13,3,3,30
South  Korea,"15,748","12,457","1,235","1,464",462,18,110,0,1,0,1
