0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 21 - Occupancy Rates by Region – 2005 to 2018,,,,,,,,,,,,,,
Region,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombo City,76.3,64.3,63.9,57.1,57.8,78.3,84.0,75.8,75.2,75.9,76.4,76.75,75.31,79.19
Greater,,,,,,,,,,,,,,
,44.8,48.0,49.3,52.6,52.7,75.1,79.5,74.5,70.1,74.0,74.4,75.18,73.14,75.41
Colombo,,,,,,,,,,,,,,
South Coast,31.5,41.2,47.6,46.1,49.6,71.9,78.1,73.9,70.2,73.1,74.3,74.24,72.38,73.10
East Coast,29.1,16.9,18.0,21.6,37.8,70.0,75.7,68.2,69.8,73.8,74.1,74.92,72.95,71.35
Hill Country,36.6,39.9,41.2,34.2,42.2,63.5,73.3,68.1,73.2,74.9,74.8,75.24,73.55,71.67
Ancient Ci(cid:415) es,39.5,43.3,40.3,35.2,44.4,62.6,71.7,66.5,73.5,75.0,75.2,75.46,73.85,71.37
Northern,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,69.9,72.4,72.0,69.58,70.98,68.48
Region,,,,,,,,,,,,,,
All Areas,,,,,,,,,,,,,,
,45.4,47.8,46.2,43.9,48.4,70.1,77.1,71.2,71.7,74.3,74.5,74.76,73.27,72.77
(Average),,,,,,,,,,,,,,
