0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"T
  T
       
                          Monthly Tourist Arrivals Report | November  2022 
18 
 
op ten markets versus main last departure airports 
and main airlines to Sri Lanka  
November 2022 
The below tables depict the main last departure airports and airlines analyzed by top markets 
to Sri Lanka. Azur Air  and Aeroflot are the most popular airlines for Russians. For majority 
of travellers from United Kingdom,Australia, Germany, Russian Federation, Canada, France  
and Maldives Sri Lankan Airlines is the most preferable Airline while Emirates is the most 
preferable  Airline  among 
tourists 
from  Swissterland.  The 
importance  of  destination 
aceessibility in driving visitation is clearly seen in the popularity of Azur Air, Aeoroflot and 
other direct flights to Sri Lanka.  
able 4. Top ten markets vs. main last departure airports to Sri Lanka,  November  2022 
able 5. Top ten markets vs. main airlines to Sri Lanka, November  2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chennai,,Dubai,,Moscow,,London,,Doha,,Vnukovo,Delhi,Abu Dhabi,Male,,Singapore,,Paris,,St. Petersburg,,Melbourne,,Bangalore,,Mumbai,,Kuala Lampur,,Khabarovsk Krai,,Istanbul,Hyderabad,"Other airports and 
cruise ports",,Total,
,Russian Federation,,"116 1,427 4,668",,,,,,2,,"422 2,539",,,,"198 1,002",143,,16,,3,,980,,0,,1,,13,,81,,669,,408,0,"1,132 13,820",,,
,India,,"5,368",,285,,0,,15,,45,,,"0 1,323",14,46,,65,,4,,0,,6,,708,,677,,49,,0,,1,612,"949 10,167",,,
,Germany,,58,,958,,0,,134,,944,,1,50,258,26,,30,,333,,0,,2,,28,,31,,61,,0,,58,0,"2,197",,"5,169",
,United Kingdom,,97,,945,,,,"0 2,172",,453,,0,30,148,72,,69,,16,,0,,8,,21,,22,,71,,0,,15,6,361,,"4,506",
,Australia,,62,,66,,0,,30,,44,,0,18,15,23,,842,,4,,0,,895,,10,,10,,308,,0,,1,9,602,,"2,939",
,"T
United States",,74,,202,,0,,206,,525,,0,61,49,50,,145,,41,,0,,6,,13,,27,,42,,0,,39,12,597,,"2,089",
,Canada,,98,,132,,1,,780,,390,,0,13,47,26,,26,,203,,0,,3,,55,,27,,33,,0,,3,5,152,,"1,994",
,France,,47,,453,,0,,64,,312,,0,10,83,73,,24,,475,,1,,1,,11,,6,,24,,0,,89,0,168,,"1,841",
,Maldives,,14,,621,,0,,0,,3,,0,1,1,810,,5,,0,,0,,2,,10,,1,,20,,0,,33,0,105,,"1,626",
,Switzerland,,8,,232,,0,,20,,235,,0,11,62,16,,8,,10,,0,,1,,1,,2,,10,,0,,1,0,215,,832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise ships,,,,
,,,,Sri Lankan Airlines,,Azur Air,,Emirates,,Aeroflot,,Qatar  Airways,,IndiGo,Fly Dubai,,Etihad Airways,,Singapore Airlines,,Air India,,Air_Arabia,,Turkish Airline,,Airfrance,,Gulf Air,,Malaysia Airlines,,Other,,Mein Schiff5,Viking Mars,Total,,
,,Russian Federation,,6.8,,37.6,,3.4,,26.5,,2.5,,0.6,6.6,,4.6,,0.0,,0.2,,4.4,,3.0,,0.0,,2.1,,0.1,,1.6,,0.0,,"0.0 13,820",,
,,India,,70.8,,0.0,,1.3,,0.0,,0.3,,18.4,0.7,,0.1,,0.2,,7.2,,0.3,,0.0,,0.0,,0.0,,0.2,,0.5,,0.0,,"0.0 10,167",,
,,Germany,,17.9,,0.0,,17.5,,0.0,,17.8,,0.4,0.8,,2.0,,0.2,,0.1,,0.0,,1.1,,1.4,,1.6,,0.2,,3.1,,35.8,0.0,"5,169",,
,,United Kingdom,,59.0,,0.0,,19.6,,0.0,,10.0,,0.8,0.8,,3.1,,0.6,,0.4,,0.3,,0.3,,0.3,,1.2,,0.4,,2.8,,0.0,0.4,"4,506",,
,,Australia,,57.8,,0.0,,1.4,,0.0,,1.2,,0.3,0.4,,0.4,,23.4,,0.7,,0.1,,0.0,,0.0,,0.1,,8.6,,1.6,,0.0,3.8,"2,939",,
,,United States,,33.6,,0.0,,7.2,,0.0,,21.2,,1.5,1.9,,1.3,,5.0,,1.1,,0.3,,1.9,,1.6,,0.1,,0.8,,1.5,,0.0,21.2,"2,089",,
,,Canada,,61.3,,0.0,,4.2,,0.1,,17.9,,1.3,1.3,,1.7,,0.8,,0.7,,0.3,,0.2,,6.7,,0.2,,0.7,,1.3,,0.0,1.6,"1,994",,
,,France,,31.5,,0.1,,22.3,,0.0,,16.5,,0.5,1.8,,2.9,,0.5,,1.0,,0.3,,4.8,,11.1,,1.1,,0.4,,5.1,,0.1,0.1,"1,841",,
,,Maldives,,48.2,,0.0,,32.3,,0.0,,0.2,,0.1,5.8,,0.1,,0.0,,0.1,,0.0,,2.0,,0.0,,0.2,,0.3,,10.9,,0.0,0.0,"1,626",,
,,Switzerland,,15.0,,0.0,,26.6,,0.0,,27.0,,0.1,1.3,,4.7,,0.4,,0.4,,0.0,,0.1,,0.6,,0.1,,0.2,,19.2,,4.2,0.0,832,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
