0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Airlines,,,,,,,,,,,,,,,,Cruise ships,,
,Sri Lankan Airlines,Azur Air,Emirates,Aeroflot,Qatar  Airways,IndiGo,Fly Dubai,Etihad Airways,Singapore Airlines,Air India,Air_Arabia,Turkish Airline,Airfrance,Gulf Air,Malaysia Airlines,Other,Mein Schiff5,Viking Mars,Total
Russian Federation,6.8,37.6,3.4,26.5,2.5,0.6,6.6,4.6,0.0,0.2,4.4,3.0,0.0,2.1,0.1,1.6,0.0,,"0.0 13,820"
India,70.8,0.0,1.3,0.0,0.3,18.4,0.7,0.1,0.2,7.2,0.3,0.0,0.0,0.0,0.2,0.5,0.0,,"0.0 10,167"
Germany,17.9,0.0,17.5,0.0,17.8,0.4,0.8,2.0,0.2,0.1,0.0,1.1,1.4,1.6,0.2,3.1,35.8,0.0,"5,169"
United Kingdom,59.0,0.0,19.6,0.0,10.0,0.8,0.8,3.1,0.6,0.4,0.3,0.3,0.3,1.2,0.4,2.8,0.0,0.4,"4,506"
Australia,57.8,0.0,1.4,0.0,1.2,0.3,0.4,0.4,23.4,0.7,0.1,0.0,0.0,0.1,8.6,1.6,0.0,3.8,"2,939"
United States,33.6,0.0,7.2,0.0,21.2,1.5,1.9,1.3,5.0,1.1,0.3,1.9,1.6,0.1,0.8,1.5,0.0,21.2,"2,089"
Canada,61.3,0.0,4.2,0.1,17.9,1.3,1.3,1.7,0.8,0.7,0.3,0.2,6.7,0.2,0.7,1.3,0.0,1.6,"1,994"
France,31.5,0.1,22.3,0.0,16.5,0.5,1.8,2.9,0.5,1.0,0.3,4.8,11.1,1.1,0.4,5.1,0.1,0.1,"1,841"
Maldives,48.2,0.0,32.3,0.0,0.2,0.1,5.8,0.1,0.0,0.1,0.0,2.0,0.0,0.2,0.3,10.9,0.0,0.0,"1,626"
Switzerland,15.0,0.0,26.6,0.0,27.0,0.1,1.3,4.7,0.4,0.4,0.0,0.1,0.6,0.1,0.2,19.2,4.2,0.0,832
