0,1,2,3,4,5,6
"Tourism Sri Lanka 2019
TOURIST ARRIVALS TO SRI LANKA
CHART 01 
: Arrivals by Month",,,,,,
,,,,,,
,Month,,2018,2019,,%  Cha. 2018/19
,January,,"238,924","244,239",,2.2
,February,,"235,618","252,033",,7.0
,March,,"233,382","244,328",,4.7
,April,,"180,429","166,975",,(7.5)
,May,,"129,466","37,802",,(70.8)
,June,,"146,828","63,072",,(57.0)
,July,,"217,829","115,701",,(46.9)
,August,,"200,359","143,587",,(28.3)
,September,,"149,087","108,575",,(27.2)
,October,,"153,123","118,743",,(22.5)
,November,,"195,582","176,984",,(9.5)
,December,,"253,169","241,663",,(4.5)
,Total,,"2,333,796","1,913,702",,(18.0)
,,,,,,www.sltda.lk/statistics
