0,1,2,3,4,5,6,7,8
"Tourism Sri Lanka 2019
TOURIST ARRIVALS TO SRI LANKA",,,,,,,,
,Rank,"Country of 
Residence",2016,2017,2018,2019,"2020 
January",
,43,Slovakia,"5,550","6,579","5,289","4,944",539,
,44,Indonesia,"16,047","25,806","5,365","4,919",401,
,45,Belarus,"4,387","4,268","4,621","4,796","1,099",
,46,Lebanon,"6,169","7,152","5,521","4,304",212,
,47,Oman,"13,268","8,343","6,846","4,117",768,
,48,Hungary,"3,911","4,951","4,514","4,091",758,
,49,Egypt,"3,432","3,907","3,854","3,708",404,
,50,UAE,"8,475","7,136","5,785","3,528",199,
,51,Iran,"4,400","6,816","5,720","3,249",330,
,52,Kuwait,"5,726","4,327","3,465","3,239",465,
,53,Myanmar,"3,286","4,365","3,241","3,124",190,
,54,Jordan,"4,290","5,165","3,156","3,085",361,
,55,Brazil,"1,727","1,822","2,774","2,964",467,
,56,Cambodia,881,"1,311",771,"2,841",146,
,57,Lithuania,"2,304","2,959","3,386","2,793",514,
,58,Vietnam,"2,200","2,551","3,189","2,643",287,
,59,Estonia,"2,761","2,881","2,744","2,516",394,
,60,Kazakhstan,"7,769","6,122","2,721","2,399","1,182",
,61,Bahrain,"3,119","3,296","2,858","2,285",404,
,62,Croatia,"1,962","2,136","2,181","1,922",331,
,63,Seychelles,"2,406",422,416,"1,864",225,
,64,Kenya,845,853,874,"1,559",45,
,65,Argentina,706,921,"1,809","1,403",224,
,66,Yemen,"1,855","1,725","1,367","1,114",116,
,67,Qatar,"1,683","1,859","1,676","1,063",69,
,68,Morocco,"1,075","1,121","1,036","1,031",125,
,69,Chile,579,631,"1,002",938,128,
,70,Palestine,"1,227","1,426","1,078",871,85,
,71,Iraq,"1,035","1,111","1,021",852,71,
,72,Mauritius,652,703,720,739,107,
,73,Colombia,600,710,702,713,88,
,74,Cyprus,426,558,672,709,99,
,75,Sudan,887,"1,078",858,584,67,
,76,Afghanistan,860,745,861,473,65,
,77,Bhutan,468,737,679,343,137,
,78,Nigeria,444,416,412,172,12,
,79,Comoros,366,303,191,128,6,
,80,Others,"10,372","1,772","24,944","22,377","2,450",
,Total,,"2,050,832","2,116,407","2,333,796","1,913,702","228,434",
www.sltda.lk/statistics,,,,,,,,
