0,1,2,3,4,5
"Tourism Sri Lanka 2019
TOURISM ACCOMADATION INVESTMENTS
DISTRIBUTION OF TOURISM PROJECTS AND NUMBER OF ROOMS BY DISTRICT
FIGURE 5 
: Distribution of The Projects",,,,,
,Districts,"Number 
of 
Projects*",Rooms*,,
,Ampara,9,118,,
,Anuradhapura,5,143,,
,Batticaloa,17,438,,
,Badulla,10,300,,
,Colombo,50,"6,583",,
,Galle,72,"3,3 18",,
,Gampaha,27,"1,3 16",,
,Hambantota,35,"1,820",,
,Jaﬀna,11,336,,
,Kalutara,29,"1,6 85",,
,Kandy,18,591,,
,Kegalle,3,70,,
,Kurunegala,2,27,,
,Kilinochchi,1,15,,
,Matale,19,677,,
,Matara,36,"1,124",,
,Nuwara Eliya,11,725,,
,Puttalam,16,703,,
,Trincomalee,25,694,,
,Monaragala,2,42,,
,Mannar,1,52,,
,Polonnaruwa,,54,,
,,,,,
,Ratnapura,2 4,71,,
,Vavuniya,2,49,,
,Total,407,"20,951",,
"*
 
Provisional
The map depicts the distribution of final approval granted projects and number
of rooms by district. Accordingly, Galle district has the highest number of proj-
ects, while Colombo district has the highest number of rooms. Galle, Colombo, 
Hambantota, Kalutara, Gampaha, Trincomalee and Matara have more than 20 
projects.    Killinochchi  and  Mannar  had  the  least  number  of  projects  of  one  in 
each district.
* Reporting period for the statistics on investments is from November 2010 to December 2019.",,,,,www.sltda.lk/statistics
