0,1,2,3,4,5,6
T,"able 2. Top ten source markets to Sri Lanka, July  2025",,,,,
,,,,Tourist arrivals (July 2025),,
,,,,,,Tourist arrivals
,Rank,Country of,,,,
,,Residence,,,,(July 2024)
,,,,By Sea,Total,
,,,By Air,,,
,1,India,"36,774",354,"37,128","41,173"
,2,United Kingdom,"23,470",05,"23,475","20,837"
,3,Netherlands,"15,555",01,"15,556","11,431"
,4,China,"12,982",0,"12,982","13,685"
,5,France,"11,042",17,"11,059","9,405"
,6,Germany,"10,563",05,"10,568","10,618"
,7,Australia,"9,116",01,"9,117","7,371"
,8,Spain,"5,912",0,"5,912","4,224"
,9,Canada,"5,455",07,"5,462","4,821"
,10,United States,"5,217",05,"5,222","4,962"
