0,1,2,3,4,5,6,7,8,9,10
,Percentage Distribution by Occupational Categories - 2002 to 2011,,,,,,,,,
Occupation,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Businessmen,10.4,10.1,11.2,13.8,15.1,16.3,15.3,12.4,13.5,18.3
Professionals,7.7,8.6,8.4,6.7,7.7,7.6,8.0,10.3,13.7,7.6
Executives,15.8,15.5,15.7,15.6,14.7,12.7,13.3,13.9,15.5,16.7
Scientists &,7.5,8.0,7.6,6.6,7.4,7.2,7.7,7.7,8.3,8.0
Technicians,,,,,,,,,,
Educationists,5.3,6.6,6.0,4.6,5.3,5.7,5.9,8,10.0,4.8
Other Occupation,28.4,27.4,26.7,24.3,23.2,27.4,26.1,26.1,18.9,25.2
No Occupation,19.0,18.0,18.2,23.7,21.4,18.0,18.2,17.2,15.1,14.1
Retired Persons,5.9,5.8,6.2,4.7,5.2,5.1,5.5,4.4,5.0,5.3
