0,1,2,3,4,5,6,7,8,9
Philippines,"2,047",555,112,476,254,53,221,238,138
Singapore,"15,953","1,708","1,936","5,135","1,711",845,935,"2,773",910
Thailand,"5,880","2,297",169,826,447,248,436,889,568
Taiwan (P.C.),"7,010","1,015",469,"1,727",765,160,"1,373",840,661
Others,"10,114","1,824","2,480","1,385",739,366,978,"1,872",470
AUSTRALASIA,"46,467","4,027","3,138","10,092","4,470","2,765","11,264","10,651",60
Australia,"41,728","3,460","2,731","9,083","3,944","2,429","10,230","9,816",35
New Zealand,"4,212",392,348,860,437,321,"1,016",827,11
Others,527,175,59,149,89,15,18,8,14
Total,,"855,975    156,330","65,721    143,039",,"67,909","40,689    215,519    120,997",,,"45,771"
