0,1,2,3,4,5,6
,,2010,,,2011,
Country of,Arrivals,Average Duration,Tourist,Arrivals,Average Duration,Tourist
Nationality,,of Stay,Nights,,of Stay,Nights
NORTH AMERICA,"40,552",10.5,"424,628","53,658",10.4,"559,471"
Canada,"21,231",10.9,"231,418","26,090",10.7,"280,207"
U.S.A.,"19,321",10.0,"193,210","27,568",10.1,"279,264"
LATIN AMERICA &,,,,,,
THE CARIBBEAN,594,10.1,"5,999",1167,9.8,"11,472"
WESTERN EUROPE,"255,172",10.2,"2,683,701","320,431",10.3,"3,375,734"
Austria,"3,963",9.5,"37,649","6,185",9.6,"59,623"
Belgium,"5,371",10.1,"54,247","10,853",10.1,"110,049"
Denmark,"4,301",10.0,"43,010","6,640",10.2,"67,861"
Finland,"1,971",10.2,"20,104","3,819",10.0,"38,343"
France,"31,119",10.5,"326,750","50,175",10.9,"548,915"
Germany,"45,981",10.7,"491,997","55,339",10.6,"588,807"
Italy,"11,512",9.9,"113,969","14,182",9.8,"138,984"
Netherlands,"17,628",10.0,"176,280","26,004",10.2,"266,281"
Norway,"3,884",10.5,"40,782","5,135",10.4,"53,404"
Spain,"4,489",10.1,"45,339","5,879",10.2,"60,142"
Sweden,"7,128",10.5,"74,844","11,715",10.3,"121,133"
Switzerland,"9,514",10.3,"97,994","13,161",10.5,"138,585"
U.K.,"105,938",10.7,"1,138,192","106,895",10.6,"1,137,363"
Others,"2,373",9.5,"22,544","4,449",9.7,"46,244"
EASTERN EUROPE,"35,630",10.3,"365,657","51,922",10.1,"525,555"
Russia,"13,312",10.2,"135,782","21,291",10.2,"218,020"
Others,"22,318",10.3,"229,875","30,631",10.0,"307,535"
MIDDLE EAST,"37,501",10.2,"382,510","36,376",10.2,"371,035"
AFRICA,"2,249",9.9,"22,265","6,736",9.6,"64,666"
ASIA,"245,753",9.3,"2,238,514","334,274",9.4,"3,076,679"
China (P.R.),"10,410",9.9,"103,059","16,573",9.7,"161,421"
"Hong Kong, China","1,824",9.5,"17,328",440,9.3,"4,092"
India,"125,112",8.8,"1,105,900","178,359",8.7,"1,558,858"
Indonesia,"1,281",9.2,"11,785","2,011",9.4,"18,903"
Japan,"14,998",9.2,"137,982","20,951",9.6,"201,130"
Korea (South),"4,318",9.3,"40,157","5,965",9.1,"54,282"
Malaysia,"13,101",9.6,"125,770","15,915",9.7,"154,853"
Maldives,"35,401",9.5,"336,310","43,926",10.3,"454,195"
Pakistan,"9,001",8.9,"80,109","15,857",8.9,"141,762"
Philippines,"1,369",8.9,"12,184","2,394",9.0,"21,642"
Singapore,"12,514",8.8,"110,123","10,666",8.9,"95,354"
Taiwan (P.C),"5,019",9.4,"47,179","7,067",9.5,"67,419"
Thailand,"3,713",9.7,"36,016","5,403",9.6,"52,085"
Others,"7,692",9.7,"74,612","8,747",10.1,"90,685"
AUSTRALASIA,"37,025",10.5,"421,486","51,411",10.5,"575,139"
Australia,"33,512",11.5,"385,388","43,737",11.3,"495,978"
New Zealand,"3,301",10.3,"34,000","5,175",10.4,"54,027"
Others,212,9.7,"2,098","2,499",9.8,"25,134"
Total,"654,476",10.0,"6,544,760","855,975",10.0,"8,559,750"
