0,1,2,3,4,5,6,7,8,9
,Tourist Arrivals by Country of Residence and Occupation - 2011,,,,,,,,
,,,,,Scientists,,Other,No,
Country of,,Total  Business-,Profess-,Execu-,& Tech-,,Educa-  Occupa-  Occupa-,,Retired
Residence,,men,ionals,tives,nicians,tionists,tion,tion,Persons
NORTH AMERICA,"49,057","4,730","2,635","8,522","4,062","2,619","11,484","12,162","2,843"
Canada,"24,671","2,267",932,"3,722","1,463",945,"5,997","6,924","2,421"
U.S.A.,"24,386","2,463","1,703","4,800","2,599","1,674","5,487","5,238",422
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"1,036",104,111,180,112,70,335,92,32
WESTERN EUROPE,"315,210","37,180","22,631","54,656","23,965","18,886","87,319","48,803","21,770"
Austria,"6,262",513,298,767,340,443,"2,046",721,"1,134"
Belgium,"10,122",766,462,"1,898",796,598,"3,728","1,585",289
Denmark,"6,582",203,326,904,419,267,"1,860",986,"1,617"
Finland,"3,649",309,169,489,314,193,"1,242",464,469
France,"48,695","9,080","2,651","6,600","3,126","3,837","14,326","5,997","3,078"
Germany,"55,882","8,096","4,553","8,487","4,870","3,123","16,230","7,486","3,037"
Italy,"13,527","1,022",720,"2,271","1,052",688,"4,738","1,693","1,343"
Netherlands,"23,966","1,376","1,012","3,945","1,755","1,407","7,517","3,254","3,700"
Norway,"4,977",332,187,667,344,251,"1,245","1,284",667
Spain,"5,886",860,428,"1,255",621,448,"1,494",615,165
Sweden,"10,937","1,017",559,"1,329",851,836,"3,548","2,234",563
Switzerland,"14,110","1,118",763,"2,794","1,009",645,"3,539","2,390","1,852"
U.K.,"106,082","12,035","10,249","22,466","8,072","5,811","24,792","19,543","3,114"
Others,"4,533",453,254,784,396,339,"1,014",551,742
EASTERN EUROPE,"49,249","4,185","3,422","13,034","5,663","1,786","10,600","4,931","5,628"
Russia,"21,385","1,553","1,293","5,934","2,256",504,"3,982","1,767","4,096"
Others,"27,864","2,632","2,129","7,100","3,407","1,282","6,618","3,164","1,532"
AFRICA,"3,614",401,226,799,307,222,782,674,203
MIDDLE EAST,"57,501","4,778","2,030","10,337","4,655","3,409","13,130","15,341","3,821"
ASIA,,"333,841   100,925","31,528","45,419","24,675","10,932","80,605","28,343","11,414"
China (PR),"16,308","2,032",894,"2,719","3,212",833,"4,862","1,280",476
"Hong Kong, China","2,199",262,169,751,193,119,143,343,219
India,"171,374","67,775","10,300","17,748","10,168","2,826","48,231","11,012","3,314"
Indonesia,"2,049",173,53,329,109,53,577,319,436
Japan,"20,586","1,907",672,"3,019","1,331",918,"8,616","3,343",780
Korea (South),"5,485","1,353",754,560,373,391,"1,462",378,214
Malaysia,"16,094","2,190","2,969","4,268","1,733",882,"3,057",134,861
Maldives,"44,018","12,885","9,936","5,022","2,948","2,983","6,469","1,716","2,059"
Pakistan,"14,724","4,949",615,"1,454",692,255,"3,245","3,206",308
Philippines,"2,047",555,112,476,254,53,221,238,138
Singapore,"15,953","1,708","1,936","5,135","1,711",845,935,"2,773",910
Thailand,"5,880","2,297",169,826,447,248,436,889,568
Taiwan (P.C.),"7,010","1,015",469,"1,727",765,160,"1,373",840,661
Others,"10,114","1,824","2,480","1,385",739,366,978,"1,872",470
AUSTRALASIA,"46,467","4,027","3,138","10,092","4,470","2,765","11,264","10,651",60
Australia,"41,728","3,460","2,731","9,083","3,944","2,429","10,230","9,816",35
New Zealand,"4,212",392,348,860,437,321,"1,016",827,11
Others,527,175,59,149,89,15,18,8,14
Total,,"855,975    156,330","65,721    143,039",,"67,909",,"40,689    215,519    120,997",,"45,771"
