0,1,2,3,4,5,6,7
,Tourist Arrivals by Country of Residence & Purpose of Visit - 2011,,,,,,
Country of Residence,Total,Pleasure,Private &,Convention,Visiting,Religious,Others
,,,Official,&,Friends &,&,
,,,Business,Meetings,Relations,Cultural,
NORTH AMERICA,"49,057","32,249","2,913",317,"12,011",66,"1,501"
Canada,"24,671","14,680",688,65,"8,130",35,"1,073"
U.S.A.,"24,386","17,569","2,225",252,"3,881",31,428
LATIN AMERICA &,,,,,,,
THE CARIBBEAN,"1,036",714,103,42,58,7,112
WESTERN EUROPE,"315,210","278,213","12,950","2,571","18,249",433,"2,794"
Austria,"6,262","5,890",97,23,158,7,87
Belgium,"10,122","9,255",391,46,174,5,251
Denmark,"6,582","5,402",427,79,297,56,321
Finland,"3,649","3,297",191,13,112,5,31
France,"48,695","44,964","1,482",109,"1,368",39,733
Germany,"55,882","50,486","2,136","1,564","1,476",56,164
Italy,"13,527","12,132",632,58,469,13,223
Netherlands,"23,966","22,132",937,65,748,32,52
Norway,"4,977","3,962",248,37,664,6,60
Spain,"5,886","5,343",244,37,122,2,138
Sweden,"10,937","10,023",276,88,381,18,151
Switzerland,"14,110","12,371",724,70,812,13,120
U.K.,"106,082","89,345","4,835",356,"11,351",168,27
Others,"4,533","3,611",330,26,117,13,436
EASTERN EUROPE,"49,249","44,540","2,753",523,538,191,704
Russia,"21,385","19,109","1,252",256,184,27,557
Others,"27,864","25,431","1,501",267,354,164,147
AFRICA,"3,614","2,116",436,165,258,13,626
MIDDLE EAST,"57,501","51,321","3,612",264,"1,426",68,810
ASIA,"333,841","247,919","43,483","10,493","25,423","1,190","5,335"
China (PR),"16,308",12321,3137,417,288,11,134
"Hong Kong, China","2,199","1,432",462,74,158,2,71
India,"171,374","126,754","24,512","4,652","14,260",344,852
Indonesia,"2,049","1,402",253,49,96,8,241
Japan,"20,586","16,916","2,064",186,636,41,743
Korea (South),"5,485","4,532",342,345,132,78,56
Malaysia,"16,094","12,439","1,591",280,"1,144",35,605
Maldives,"44,018","33,423","3,328","2,098","4,807",234,128
Pakistan,"14,724","10,202","1,418",897,"1,067",342,798
Philippines,"2,047","1,178",307,131,218,1,212
Singapore,"15,953","11,917","2,301",202,"1,201",17,315
Thailand,"5,880","4,165",579,157,272,7,700
Taiwan (P.C.),"7,010","5,138","1,290",61,280,11,230
Others,"10,114","6,098","1,899",944,864,59,250
AUSTRALASIA,"46,467","30,758","2,186",306,"12,568",353,296
Australia,"41,728","27,654","1,892",246,"11,500",345,91
New Zealand,"4,212",2750,251,30,1039,6,136
Others,527,354,43,30,29,2,69
Total,"855,975","687,830","68,436","14,681","70,531","2,321","12,178"
