0,1,2,3,4,5,6,7
,Tourist Arrivals by Country of Nationality - 2005 to 2011,,,,,,
Country of,,,,,,,
,2005,2006,2007,2008,2009,2010,2011
Nationality,,,,,,,
NORTH AMERICA,"46,727","35,688","28,338","23,203","25,044","40,552","53,658"
Canada,"21,335","14,863","11,862","9,745","10,785","21,231","26,090"
U.S.A.,"25,392","20,825","16,476","13,458","14,259","19,321","27,568"
LATIN AMERICA &,,,,,,,
THE CARIBBEAN,732,805,"4,104",3721,666,594,"1,167"
WESTERN EUROPE,,"227,558   228,666   195,813",,"165,822","170,186","255,172","320,431"
Austria,"4,148","4,677","3,573",2684,2411,"3,963","6,185"
Belgium,"3,891","6,373","4,653",2394,2613,"5,371","10,853"
Denmark,"3,793","3,540","1,782",1336,1306,"4,301","6,640"
Finland,"1,150","1,244",498,489,742,"1,971","3,819"
France,"26,641","22,703","9,540",10703,16205,"31,119","50,175"
Germany,"46,320","47,296","35,016",30154,29664,"45,981","55,339"
Italy,"10,147","12,353","11,451",9137,7214,"11,512","14,182"
Netherlands,"15,252","19,460","17,532",13180,11297,"17,628","26,004"
Norway,"4,333","3,057","2,304",1620,1669,"3,884","5,135"
Spain,"1,781","2,369","2,481",2251,2383,"4,489","5,879"
Sweden,"5,462","5,579","4,824",3745,3578,"7,128","11,715"
Switzerland,"8,339","7,729","4,911",5261,6247,"9,514","13,161"
U.K.,"92,929","88,531","94,089",80214,81682,"105,938","106,895"
Others,"3,372","3,755","3,159",2654,3175,"2,373","4,449"
EASTERN EUROPE,"9,305","14,236","25,485","29,352","26,177","35,630","51,922"
Russia,"3,719","8,000","13,530",15831,11390,"13,312","21,291"
Others,"5,586","6,236","11,955",13521,14787,"22,318","30,631"
MIDDLE EAST,"10,230","10,191","13,587",16701,23821,"37,501","36,376"
AFRICA,"2,337","3,163","2,991",2354,1591,"2,249","6,736"
ASIA,,"222,844   241,954   200,697",,"175,944","174,382","245,753","334,274"
Bangladesh,"2,325","2,466","1,668",1438,1295,"1,846","4,934"
China (P.R.),"9,818","16,364","10,413",10015,8574,"10,410","16,573"
"Hong Kong, China","1,219","1,083",210,421,1325,"1,824",440
India,,"113,023   128,520   105,906",,88628,83650,"125,112","178,359"
Indonesia,"1,639","4,940","1,404",1258,1039,"1,281","2,011"
Japan,"17,163","16,217","14,274",10578,10931,"14,998","20,951"
Korea (South),"6,023","5,318","4,860",4102,3595,"4,318","5,965"
Malaysia,"11,668","9,823","6,666",5021,6878,"13,101","15,915"
Maldives,"24,396","24,505","29,550",31458,31890,"35,401","43,926"
Nepal,"1,077","1,152",885,897,679,602,858
Pakistan,"11,056","11,165","10,173",7702,7388,"9,001","15,857"
Philippines,"2,360","3,480","2,106",1520,1421,"1,369","2,394"
Singapore,"10,796","6,662","5,691",5702,7976,"12,514","10,666"
Thailand,"5,409","5,475","2,517",3510,3198,"3,713","5,403"
Taiwan (P.C.),"2,705","2,580","2,544",1988,2711,"5,019","7,067"
Others,"2,167","2,204","1,830",1706,1832,"5,244","2,955"
AUSTRALASIA,"29,575","24,900","22,993","21,378","26,023","37,025","51,411"
Australia,"25,836","21,665","20,241",19145,23249,"33,512","43,737"
New Zealand,"3,608","3,127","2,655",2148,2623,"3,301","5,175"
Others,131,108,97,85,151,212,"2,499"
Total,,"549,308   559,603   494,008",,"438,475","447,890",,"654,476   855,975"
