0,1,2,3
Country of,,By Air,Sea
Residence,Total,Katunayake,Colombo
NORTH AMERICA,"49,057","48,830",227
Canada,"24,671","24,603",68
USA,"24,386","24,227",159
LATIN AMERICAN &,,,
THE CARIBBEAN,"1,036","1,013",23
WESTERN EUROPE,"315,210","314,472",738
Austria,"6,262","6,019",243
Belgium,"10,122","10,077",45
Denmark,"6,582","6,556",26
Finland,"3,649","3,649",0
France,"48,695","48,657",38
Germany,"55,882","55,835",47
Italy,"13,527","13,527",0
Netherlands,"23,966","23,877",89
Norway,"4,977","4,977",0
Spain,"5,886","5,886",0
Sweden,"10,937","10,903",34
Switzerland,"14,110","14,065",45
UK,"106,082","105,911",171
Others,"4,533","4,533",0
EASTERN EUROPE,"49,249","48,936",313
Russia,"21,385","21,198",187
Others,"27,864","27,738",126
AFRICA,"3,614","3,614",0
MIDDLE EAST,"57,501","57,501",0
ASIA,"333,841","333,460",381
China (PR),"16,308","16,243",65
"Hong Kong, China","2,199","2,199",0
India,"171,374","171,209",165
Indonesia,"2,049","2,049",0
Japan,"20,586","20,519",67
Korea (South),"5,485","5,440",45
Malaysia,"16,094","16,094",0
Maldives,"44,018","44,018",0
Pakistan,"14,724","14,724",0
Philippines,"2,047","2,047",0
Singapore,"15,953","15,914",39
Thailand,"5,880","5,880",0
Taiwan (P.C.),"7,010","7,010",0
Others,"10,114","10,114",0
AUSTRALASIA,"46,467","46,307",160
Australia,"41,728","41,641",87
New Zealand,"4,212","4,139",73
Others,527,527,0
Total,"855,975","854,133","1,842"
