0,1,2,3,4,5,6,7,8,9
Country of,Total,,Sex,,,Age Groups,,,
Residence,,Male,Female,(3-19),(20-29),(30-39),(40-49),(50-59),(60&
,,,,,,,,,Over)
NORTH AMERICA,"49,057","27,520","21,537","8,397","6,399","10,370","12,298","5,525","6,068"
Canada,"24,671","13,548","11,123","5,042","2,766","4,800","6,278","2,626","3,159"
U.S.A.,"24,386","13,972","10,414","3,355","3,633","5,570","6,020","2,899","2,909"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"1,036",598,438,74,247,290,229,107,89
WESTERN EUROPE,,"315,210   164,834   150,376",,"34,800","43,555","64,683","79,093","40,891","52,188"
Austria,"6,262","3,113","3,149",488,890,"1,325","1,886",844,829
Belgium,"10,122","4,813","5,309","1,048","1,948","2,150","3,132","1,461",383
Denmark,"6,582","3,641","2,941",783,585,758,"1,605",967,"1,884"
Finland,"3,649","1,797","1,852",313,655,906,792,279,704
France,"48,695","23,929","24,766","4,984","6,895","10,086","11,719","7,327","7,684"
Germany,"55,882","28,823","27,059","5,093","7,166","11,115","15,876","8,118","8,514"
Italy,"13,527","7,332","6,195","1,135","2,167","3,685","3,726","1,689","1,125"
Netherlands,"23,966","12,522","11,444","2,357","3,247","4,381","6,282","3,533","4,166"
Norway,"4,977","2,794","2,183","1,123",663,953,"1,304",528,406
Spain,"5,886","3,066","2,820",360,997,"1,908","1,453",521,647
Sweden,"10,937","5,511","5,426",370,933,"2,104","1,313",546,"5,671"
Switzerland,"14,110","7,187","6,923","1,965","1,865","2,814","3,878","1,724","1,864"
U.K.,"106,082","57,662","48,420","14,347","14,801","21,362","24,943","12,975","17,654"
Others,"4,533","2,644","1,889",434,743,"1,136","1,184",379,657
EASTERN EUROPE,"49,249","22,791","26,458","3,955","13,413","12,600","13,431","4,478","1,372"
Russia,"21,385","10,236","11,149","1,693","6,258","4,904","5,413","1,924","1,193"
Others,"27,864","12,555","15,309","2,262","7,155","7,696","8,018","2,554",179
AFRICA,"3,614","2,385","1,229",338,539,742,932,480,583
MIDDLE EAST,"57,501","34,600","22,901","10,791","11,100","11,776","14,113","5,344","4,377"
ASIA,,"333,841   229,300   104,541",,"33,500","62,330","84,123","96,323","36,066","21,499"
China (PR),"16,308","10,645","5,663","1,102","4,121","5,065","4,137","1,020",863
"Hong Kong, China","2,199","1,278",921,202,268,466,683,396,184
India,,"171,374   128,389","42,985","16,301","31,011","44,760","52,800","17,654","8,848"
Indonesia,"2,049","1,124",925,112,313,423,850,209,142
Japan,"20,586","11,643","8,943","1,116","2,909","4,992","5,089","2,527","3,953"
Korea (South),"5,485","3,407","2,078",601,783,"1,494","1,756",678,173
Malaysia,"16,094","9,362","6,732","1,523","2,006","3,604","4,471","2,698","1,792"
Maldives,"44,018","26,861","17,157","7,451","10,549","10,355","10,262","3,170","2,231"
Pakistan,"14,724","11,271","3,453","1,791","2,989","3,864","3,833","1,357",890
Philippines,"2,047","1,016","1,031",113,449,635,546,304,0
Singapore,"15,953","10,284","5,669","1,524","1,876","3,685","5,357","2,467","1,044"
Thailand,"5,880","3,003","2,877",278,740,"1,542","1,513","1,072",735
Taiwan (P.C.),"7,010","4,043","2,967",397,"1,039",785,"3,125","1,280",384
Others,"10,114","6,974","3,140",989,"3,277","2,453","1,901","1,234",260
AUSTRALASIA,"46,467","24,860","21,607","7,746","7,221","9,121","11,556","6,235","4,588"
Australia,"41,728","22,217","19,511","7,019","6,330","8,206","10,399","5,638","4,136"
