0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,Table 5 (a)
,Tourist Arrivals by Charter Carriers - 2002 to 2011,,,,,,,,,
Charter Carrier,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Balair,-,-,-,-,-,855,-,-,-,-
Fin Air,-,703,"1,181",12,-,-,-,-,"3,423",-
Montana,-,-,-,-,-,-,-,-,-,-
Hapag Lloyd,-,-,-,-,-,-,-,-,-,-
Scan Air,-,-,-,-,-,-,-,-,-,-
Lauda,567,277,"1,374",908,-,-,-,-,-,-
Air Europe,"3,645","5,275","3,712",-,-,-,-,-,-,-
U.T.A.(Charter),-,-,-,-,,,,,-,-
Air Solvika,-,840,978,-,-,-,-,-,-,-
Air Holland,-,430,-,-,-,-,-,-,-,-
Austrian Airlines,"1,806",-,-,-,-,-,-,-,-,-
Air Liberty,-,-,-,-,-,-,-,-,-,-
Caledonian,-,-,-,-,-,-,-,-,-,-
PB Air,-,-,-,-,-,-,-,-,-,"2,645"
Meridiana,-,-,-,-,-,-,-,-,-,337
Air Monarach,-,"4,083","4,117",,-,-,-,-,-,-
Smart Wings(QS),-,-,-,-,-,-,-,"1,438",-,"1,076"
Edelweiss Air,600,"1,935","1,536",478,"1,070","1,324","1,517","1,226","2,908",371
CSA Czech Airline,"1,302",-,-,-,-,-,-,-,-,-
Tvansavia Airline,774,"2,235",657,-,-,-,-,-,-,-
Aeroflot,642,-,-,-,-,-,-,-,-,-
My Travel,-,320,"2,925","1,278",-,-,-,-,-,-
First Choice,-,-,-,-,578,"6,310","9,537","2,805","5,713",727
Arkeyfly,-,-,-,-,983,-,31,,-,-
Holland Excel,-,-,"3,828",237,-,-,-,-,-,-
Euro Fly,-,-,"1,476","1,848","2,086",-,-,-,-,-
Nova,,,,,,,,,"1,952","8,757"
Rossia Airline,,,,,,,,,,798
Others,-,348,447,462,399,-,"2,344",-,679,411
Total,"9,336","16,446","22,231","5,223","5,116","8,489","13,429","5,469","14,675","15,122"
