0,1,2,3
"able 3. Top ten markets to Sri Lanka, January to March  2023",,,
,Country of,Tourist Arrivals,Tourist Arrivals
Rank,,,
,Residence,(Jan ~ March  2023),(Jan ~ March 2022)
1,Russian Federation,"79,891","37,717"
2,India,"46,432","47,711"
3,United Kingdom,"28,111","30,992"
4,Germany,"25,849","22,680"
5,France,"16,744","15,056"
6,Australia,"11,506","6,861"
7,Canada,"10,854","6,613"
8,United States,"10,780","6,798"
9,Israel,"5,821","3,301"
10,Maldives,"5,795","5,843"
,Others,"93,896","101,762"
Total,,"335,679","285,334"
