0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Country,Dubai,Chennai,Doha,Domodedovo,London,Moscow.,Mumbai,Sharja,Delhi,Vnukovo,Kuala Lampur,Singapore,Melbourne,Abu Dhabi,Paris,Bangalore,Frankfurt,Muscat,Tyumen,Other,Total
Russian Federation,"2,701",340,449,"6,155",17,"4,640",20,"1,848",90,"2,809",454,30,3,658,4,17,8,262,"1,165","3,883","25,553"
India,756,"9,424",77,0,16,0,"2,926",55,"2,266",0,61,116,10,29,2,"1,169",0,45,0,"2,007","18,959"
United Kingdom,"3,024",358,"1,498",0,"3,783",0,139,66,145,0,258,185,59,320,24,95,8,119,0,972,"11,053"
Germany,"2,576",195,"2,916",1,109,7,278,16,135,1,198,82,17,406,83,129,"1,363",491,0,699,"9,702"
France,"2,171",123,644,0,97,1,130,9,81,0,125,55,6,259,"1,384",29,22,187,0,463,"5,786"
United States,483,233,873,2,81,0,96,31,111,0,128,217,6,146,24,47,6,12,0,"3,205","5,701"
Australia,182,131,30,0,14,0,19,5,77,0,334,"1,318","2,013",27,3,6,2,8,0,556,"4,725"
Canada,654,330,746,0,777,2,133,23,48,0,90,114,18,81,167,71,107,15,0,690,"4,066"
Iran,"1,500",6,490,0,0,1,0,"1,451",0,0,6,3,4,2,1,1,0,205,0,68,"3,738"
China,104,22,22,0,6,0,6,5,4,0,689,205,4,11,0,0,1,4,0,"2,013","3,096"
