0,1,2,3
,,,6
Monthly Tourist Arrivals Report | March 2022,,,
Top primary markets and top potential markets,,,
March 2022,,,
Top primary markets,,,
,India,,
,,Switzerland,
,"Arrivals:23,216 | % Share:21.8",,
,,"Arrivals: 1,243  | % Share: 1.2",
,4441212.112.12.17.9,,
,United Kingdom,Spain,
,"Arrivals: 12,908 | % Share 12.1","Arrivals: 1,112 |   % Share: 1.0",
,Germany,Austria,
,"Arrivals: 9,561  |  % Share:9.0",Arrivals: 887  |  % Share   0.8,
,Russia*,,
,,Norway,
,"Arrivals: 8,899 | % Share:8.4",,
,,Arrivals:768  |  % Share: 0.7,
,4441212.112.12.17.9,,
,France,Italy,
,"Arrivals:  5,741 | % Share: 5.4",Arrivals: 730  |  % Share: 0.7,
,United States,Sweden,
,"Arrivals: 3,114 | % Share: 2.9",Arrivals:  725|  % Share: 0.7,
,Canada,China,
,"Arrivals: 2,989|  % Share:  2.8",Arrivals: 358  |  % Share: 0.3,
,Australia,UAE,
,"Arrivals:  2,359| % Share: 2.2",Arrivals:  240  |  % Share: 0.2,
,Netherlands,Japan,
,"Arrivals: 1,422  |  % Share: 1.3",Arrivals: 226  |  % Share:  0.2,
,Saudi Arabia,South Korea,
,"Arrivals:  1,397  | % Share:1.3",Arrivals:  200  |  % Share: 0.2,
,1.30.9,,
Note: The top primary markets for Sri Lanka have been identified using a combination of historical visitor,,,
"arrivals data, total outbound market size data, overall size of the economy, recent consumer sentiment",,,
data  and  other  variables.  The  intention  is  to  track  these  source  markets  on  a  go-forward  basis  to,,,
understand,future  performance for  Sri  Lanka’s,"the  projected tourism  economy, including  during",
"international  tourism  recovery  period,  2022-2025  (source:  Pacific  Asia  Travel  Association,  January,",,,
2021).,,,
* A prolonged absence of Ukrainian and Russian tourists is anticipated due to the current conflict and its longterm,,,
"implications. Accordingly, Russia is unlikely to be a primary market for Sri Lanka from February onwards.",,,
