0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
India,46.49,31.89,1.240.40,0.00,10.01,0.00,0.00,7.01,0.110.17,0.68,0.05,0.04,0.28,0.01 0.68,0.93,100.00
Russian Federation,2.46,1.12,3.13,4.01 44.06,0.58 30.34,,0.06,0.10,2.050.08,2.10,1.13,1.12,3.45,0.34 0.19,3.67,100.00
Germany,12.50,0.76,17.11 21.23,0.00,1.11,0.00,0.00,0.15,1.500.20,1.93,2.04,3.55,0.19,1.91 0.06,35.76,100.00
United Kingdom,46.33,1.57,18.29 16.74,0.00,0.80,0.05,0.03,0.35,2.870.58,3.98,1.74,0.45,0.07,0.37 0.12,5.66,100.00
Australia,59.80,0.88,1.670.69,0.00,0.55,0.00,0.07,0.24,2.00 17.04,0.21,0.17,0.05,0.14,0.05 0.00,16.45,100.00
China,35.68,0.19,2.420.38,0.00,0.12,0.00,48.53,0.02,7.811.27,0.62,0.07,0.14,0.14,0.19 0.07,2.32,100.00
Canada,41.62,0.96,24.38 18.33,0.00,1.28,0.00,0.16,0.16,1.231.23,0.75,0.67,0.11,0.16,0.24 0.21,8.53,100.00
United States,24.01,4.23,9.26 23.52,0.00,2.07,0.03,0.19,0.80,2.073.24,1.08,2.78,0.25,0.19,0.90 0.12,25.28,100.00
Maldives,57.05,0.21,30.020.21,0.00,0.00,0.00,0.04,0.08,0.160.04,4.31,0.00,0.00,0.00,0.66 5.87,1.35,100.00
France,23.74,1.20,29.45 22.91,0.00,1.86,0.04,0.04,0.17,2.690.62,3.07,3.44,3.48,0.37,4.18 0.17,2.57,100.00
