0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, May 2023",,,,,
,,,Tourist Arrivals (May 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,,,,
,,By Air,By Sea,Total,( May 2022)
,India,"23,008",08,"23,016","5,562"
1,,,,,
,Russian Federation,"7,758",02,"7,760","3,202"
2,,,,,
3,Germany,"4,529","2,325","6,854","2,208"
4,United Kingdom,"5,866",121,"5,987","3,723"
5,Australia,"3,774",427,"4,201","1,660"
6,China,"4,172",01,"4,173",242
7,Canada,"3,561",192,"3,753","2,013"
8,United States,"2,465",775,"3,240","1,368"
9,Maldives,"2,438",0,"2,438",849
10,France,"2,396",18,"2,414","1,076"
