0,1,2,3
"able 3. Top ten markets to Sri Lanka, January to May  2023",,,
,Country of,Tourist Arrivals,Tourist Arrivals
Rank,,,
,Residence,(Jan ~ May 2023),(Jan ~ May 2022)
1,Russian Federation,"102,307","44,793"
2,India,"89,363","61,951"
3,United Kingdom,"42,841","46,254"
4,Germany,"40,107","30,976"
5,France,"24,693","20,167"
6,Australia,"20,703","12,029"
7,United States,"17,960","10,038"
8,Canada,"17,917","10,709"
9,China,"14,757","1,353"
10,Maldives,"9,829","7,259"
10,Others,"144,009","132,992"
Total,,"524,486","378,521"
