0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Arr,Dep,Arr,Dep,Arr,Dep,Arr,Dep,Arr,Dep,Arr,Dep,Arr,Dep
2005,"1,360,217","1,396,227",-,-,-,-,-,-,-,-,"1,930","1,560","1,362,147","1,397,787"
2006,"1,444,408","1,474,559",-,-,-,-,-,-,-,-,360,401,"1,444,768","1,474,960"
2007,"1,529,930","1,565,341",-,-,-,-,-,-,-,-,338,211,"1,530,268","1,565,552"
2008,"1,644,172","1,707,376",-,-,-,-,-,-,-,-,145,168,"1,644,317","1,707,544"
2009,"1,644,142","1,673,265",-,-,-,-,-,-,-,-,420,379,"1,644,562","1,673,644"
2010,"2,111,629","2,128,404",-,-,-,-,-,-,-,-,385,356,"2,112,014","2,128,760"
2011,"2,435,660","2,464,622",-,-,"1,842","1,842",-,-,-,-,"1,842","1,842","2,437,502","2,466,464"
2012,"2,518,082","2,568,787",-,-,"3,136","3,136",-,-,-,-,-,-,"2,521,218","2,571,871"
2013,"2,593,818","2,644,467","2,828","2,850","7,238","6,010","21,366","18,738",-,-,"3,136","3,084","2,625,250","2,672,065"
2014,"2,757,667","2,884,767","4,052","3,256","6,710","7,196","22,218","20,143",-,-,-,-,"2,790,647","2,915,362"
2015,"3,222,647","3,209,259",997,"1,513","6,786","7,474","20,339","18,474",-,-,,,"3,250,769","3,236,720"
2016,"3,506,488","3,580,899","2,262","2,697","10,792","10,055","15,531","13,807",-,-,763,813,"3,535,836","3,608,271"
2017,"3,561,189","3,636,219","6,488","16,026","12,840","12,653","15,602","13,215",-,-,"1,527","1,697","3,597,646","3,679,810"
2018,"3,731,847","3,718,781","1,237","1,678","70,751","69,230","16,753","14,647",-,-,"2,907","3,754","3,823,495","3,808,090"
2019,"3,392,073","3,446,467",149,237,"80,570","81,587","17,731","14,131",-,-,"6,106","4,897","3,496,629","3,547,319"
2020,"818,975","927,755","14,406","3,086","26,816","25,550","13,416","11,317",-,-,404,306,"874,017","968,014"
