0,1,2,3,4,5,6,7,8,9
,Tourist Arrivals by Sex and Age- 2020,,,,,,,,
,,GENDER,,,,AGE,,,
Country of,,,,,,,,,60 &
,Arrivals  Male,,Female,3-19,20-29,30-39,40-49,50-59,
Residence,,,,,,,,,above
AMERICAS,"31,843","16,135","15,708","3,162","3,331","5,709","4,176","4,831","10,634"
North America,"29,627","15,071","14,556","3,034","2,930","5,006","3,853","4,540","10,264"
Canada,"12,436","6,332","6,104","1,333","1,124","1,833","1,652","2,139","4,355"
Mexico,349,143,206,24,71,114,44,32,64
United States,"16,842","8,596","8,246","1,677","1,735","3,059","2,157","2,369","5,845"
Caribbean &,,,,,,,,,
,226,154,72,15,43,66,42,25,35
Central America,,,,,,,,,
Costa Rica,33,19,14,2,3,7,2,6,13
Jamaica,25,16,9,2,7,4,8,0,4
Others,168,119,49,11,33,55,32,19,18
South America,"1,990",910,"1,080",113,358,637,281,266,335
Argentina,416,184,232,19,89,129,61,54,64
Brazil,875,433,442,52,98,244,135,150,196
Chile,271,117,154,19,63,95,32,21,41
Colombia,201,77,124,12,53,85,25,14,12
Others,227,99,128,11,55,84,28,27,22
