country	year	month-01	month-02	month-03	month-04	month-05	month-06	month-07	month-08	month-09	month-10	month-11	month-12
AFG	2018	83	150	112	40	108	44	47	78	34	41	52	72
ALB	2018	14	15	5	16	12	15	11	19	14	13	12	31
DZA	2018	38	35	28	24	12	19	24	71	27	20	27	43
AND	2018	4	6	2	3	6	0	5	16	3	3	1	4
AGO	2018	0	1	2	1	0	0	0	0	2	1	1	1
ATG	2018	1	5	2	2	1	1	2	1	1	1	0	3
ARG	2018	236	254	271	300	122	50	71	54	92	87	169	103
ARM	2018	180	87	75	66	53	87	105	102	123	88	79	165
AUS	2018	9452	5693	8932	14023	4873	9997	8801	8239	8746	6912	10299	14961
AUT	2018	2833	3156	2573	1103	637	543	1642	1216	875	1036	1692	2014
AZE	2018	78	30	109	19	16	13	30	30	24	36	19	108
BHS	2018	1	4	4	24	6	1	0	5	3	0	0	0
BHR	2018	588	147	195	151	108	245	392	432	99	90	103	308
BGD	2018	982	741	996	672	729	1030	857	1060	771	894	736	1019
BRB	2018	4	2	3	3	3	0	0	1	0	2	0	0
BLR	2018	802	942	666	286	128	122	71	96	174	256	500	578
BEL	2018	1275	1449	1666	1211	494	785	3681	1994	1384	816	1045	1719
BLZ	2018	2	1	1	2	0	0	1	1	0	6	0	2
BEN	2018	1	0	0	0	0	0	1	1	2	1	1	4
BTN	2018	110	72	37	42	30	41	49	48	38	29	47	136
BOL	2018	6	5	17	9	2	8	4	9	6	4	5	6
BIH	2018	20	45	25	18	8	16	15	9	13	19	30	43
BWA	2018	9	4	4	4	0	3	4	5	1	0	1	13
BRA	2018	226	156	357	786	124	116	117	98	102	125	298	269
BRN	2018	4	3	17	6	6	5	13	10	4	7	5	11
BGR	2018	277	381	352	218	87	85	110	96	93	135	223	607
BFA	2018	2	1	0	4	1	0	1	1	3	2	0	4
BDI	2018	1	0	0	0	0	0	1	1	1	11	1	2
KHM	2018	85	85	103	142	84	38	51	35	37	28	64	19
CMR	2018	2	0	1	1	0	4	2	2	4	5	2	1
CAN	2018	5682	3999	5113	4972	3297	4676	6017	5440	2903	2406	3496	4680
CPV	2018	1	0	0	0	0	0	2	1	1	0	0	1
CAF	2018	0	0	0	0	0	0	1	0	0	0	0	0
TCD	2018	0	0	0	0	0	0	1	1	0	0	2	0
CHL	2018	99	104	109	147	55	43	64	59	55	59	119	89
CHN	2018	24275	35929	21101	17462	17103	20424	27460	26558	19600	18882	18888	18283
COL	2018	52	59	72	88	33	32	53	52	43	52	53	113
COM	2018	8	5	14	10	9	9	47	36	16	15	20	2
COD	2018	1	2	5	4	3	4	1	3	3	3	0	4
COG	2018	0	1	0	0	0	0	1	1	2	0	2	0
CRI	2018	9	20	14	13	3	3	0	15	26	6	3	20
CIV	2018	1	3	1	1	2	2	3	2	1	1	2	1
HRV	2018	481	276	209	163	92	70	129	125	83	112	147	294
CUB	2018	3	2	5	6	3	3	2	1	4	3	12	8
CYP	2018	55	53	51	45	43	44	91	98	37	32	51	72
CZE	2018	2257	3082	2674	1304	322	571	1050	637	889	688	1898	2228
DNK	2018	3013	3228	2227	943	456	959	2951	925	576	994	943	2008
DJI	2018	1	1	4	1	0	0	0	0	0	1	0	1
