0,1,2,3,4,5,6,7,8,9,10
Africa,"9,950","5,054","4,896",779,"1,040","1,464","2,452","2,656",707,852
North Africa,"2,621","1,343","1,278",67,107,243,765,"1,017",158,264
Morocco,789,438,351,20,27,47,196,392,49,58
Sudan,834,375,459,9,27,106,276,244,57,115
Others,998,530,468,38,53,90,293,381,52,91
Sub - Saharan Africa,"7,329","3,711","3,618",712,933,"1,221","1,687","1,639",549,588
Kenya,613,325,288,41,67,106,175,156,29,39
Mauritius,471,250,221,118,67,67,97,63,25,34
Nigeria,93,27,66,4,16,25,25,21,2,0
South Africa,"3,444","1,728","1,716",315,437,580,765,774,287,286
Others,"2,708","1,381","1,327",234,346,443,625,625,206,229
Asia & Pacific,"596,933","235,745","361,188","62,932","80,940","109,700","148,091","118,239","34,678","42,353"
North East Asia,"100,790","53,913","46,877","15,744","15,837","15,472","24,610","19,955","4,187","4,985"
China,"68,789","38,147","30,642","8,748","9,908","9,365","19,116","15,192","2,749","3,711"
Japan,"19,583","9,566","10,017","4,189","2,736","3,716","3,598","3,364","1,050",930
South Korea,"7,298","3,150","4,148","1,359","1,729","1,549","1,249",854,278,280
Taiwan,"4,999","2,978","2,021","1,445","1,453",812,609,518,102,60
Others,121,72,49,3,11,30,38,27,8,4
South East Asia,"36,060","19,369","16,691","4,711","6,189","7,415","8,148","6,124","1,600","1,873"
Cambodia,519,277,242,85,60,82,142,113,27,10
Indonesia,"2,352","1,274","1,078",126,256,554,631,586,113,86
Malaysia,"10,940","5,320","5,620","1,762","2,273","2,269","1,980","1,520",575,561
Myanmar,"1,130",653,477,150,263,217,267,185,22,26
Philippines,"4,164","3,002","1,162",116,289,773,"1,503","1,105",101,277
Singapore,"9,551","4,314","5,237","1,411","1,827","2,001","1,831","1,232",502,747
Thailand,"4,922","2,997","1,925",838,936,"1,076","1,131",748,107,86
Vietnam,"2,307","1,444",863,218,267,406,614,595,132,75
Others,175,88,87,5,18,37,49,40,21,5
South Asia,"384,448","125,763","258,685","27,414","47,251","74,330","102,959","83,181","23,381","25,932"
Afghanistan,181,7,174,0,4,16,53,72,36,0
Bangladesh,"17,846","4,216","13,630",521,"1,334","3,029","5,328","4,466","2,009","1,159"
