0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,Dec,Total up
,,,,,,,,,Aug,Sep,,Nov,,
,,,,,,,June,July,,,Oct,,,
No,Country,January,February,March,April,May,,,,,,,,
,,,,,,,,,,,,,,to Dec
1,Afghanistan,9,2,1,1,24,6,30,41,21,5,25,16,181
2,Albania,6,8,4,6,7,9,12,9,3,4,8,12,88
3,Algeria,21,16,15,33,22,25,29,36,39,19,27,29,311
4,Andorra,4,1,1,3,2,2,7,15,4,7,1,6,53
5,Angola,0,0,1,1,0,0,1,1,0,0,1,5,10
6,Antigua and Barbuda,4,2,2,3,1,0,1,6,3,0,2,3,27
7,Argentina,76,43,94,71,66,37,34,52,42,49,56,67,687
8,Armenia,258,145,124,158,74,85,123,144,101,301,324,653,"2,490"
9,Aruba,0,0,0,0,1,0,0,0,0,0,0,1,2
10,Australia,"3,668","3,113","4,725","4,996","4,201","6,195","5,323","5,522","5,969","4,977","7,900","10,847","67,436"
11,Austria,956,934,872,649,440,299,979,866,726,778,"1,212","1,883","10,594"
12,Azerbaijan,115,64,343,120,54,71,191,156,82,94,195,194,"1,679"
13,Bahamas,0,1,3,3,0,2,3,0,2,0,1,5,20
14,Bahrain,134,35,56,86,78,171,204,176,52,54,82,104,"1,232"
15,Bangladesh,717,531,612,960,"1,145","1,072","1,520","1,533","1,441","2,456","2,674","3,185","17,846"
16,Barbados,0,1,3,0,1,1,1,5,1,1,2,0,16
17,Belarus,"1,204","1,244","1,399",627,428,441,453,497,778,824,"1,508","1,566","10,969"
18,Belgium,646,725,722,636,420,438,"2,259","1,330","1,061",666,769,995,"10,667"
19,Belize,1,0,1,2,0,1,0,1,1,2,0,0,9
20,Benin,1,0,0,1,0,0,0,1,3,1,0,3,10
21,Bhutan,32,19,24,25,21,39,41,60,32,39,33,68,433
22,Bolivia,0,1,6,4,5,2,2,2,0,5,3,4,34
23,Bosnia and,10,7,15,16,18,3,10,15,8,9,14,50,175
,Herzegovina,,,,,,,,,,,,,
24,Botswana,4,1,2,3,7,3,11,2,2,2,3,21,61
