0,1,2,3,4,5,6
,,Local Tickets,,Foreign Tickets,,
Parks,,,,,Total Visitors,Total Income
,Local Visitors,Local Income,Foreign Visitors,Foreign Income,,
,,( Rs ),,( Rs ),,
Yala,"251,865","38,050,064","214,572","1,708,426,610","466,437","1,746,476,673"
Horton Plains,"214,756","30,947,100","30,950","247,267,547","245,706","278,214,647"
Udawalawa,"98,561","14,575,800","89,827","725,187,069","188,388","739,762,869"
Wasgomuwa,"9,014","519,980","1,347","5,278,824","10,361","5,798,804"
Minneriya,"40,894","4,454,910","21,170","117,657,669","62,064","122,112,579"
Bundala,"5,587","330,360","4,131","16,075,246","9,718","16,405,606"
Horagolla,"11,011","431,320",19,"29,558","11,030","460,878"
Kaudulla,"45,564","6,739,800","49,059","385,314,243","94,623","392,054,043"
Galoya,"9,538","325,530","4,281","6,738,938","13,819","7,064,468"
Kumana,"21,263","5,390,380","7,267","27,557,142","28,530","32,947,522"
Angammedilla,"1,031","59,460",02,"7,956","1,033","67,416"
Galways Land,"14,850","795,790",341,"1,299,200","15,191","2,094,990"
Wilpattu,"49,113","7,325,300","24,970","199,439,528","74,083","206,764,828"
Maduruoya,"1,624","93,130",315,"1,177,402","1,939","1,270,532"
Lahugala,437,"25,170",40,"154,234",477,"179,404"
Pigeon Island,"53,992","7,876,310","9,384","65,500,573","63,376","73,376,883"
Hikkaduwa,"31,062","1,198,250","1,385","2,007,665","32,447","3,205,915"
Eth,"112,080","9,799,070","61,596","99,174,995","173,676","108,974,065"
Kalawewa,766,"18,000",121,"109,805",887,"127,805"
Bareef -Kalpitiya,"8,135","188,030","1,922","4,994,218","10,057","5,182,248"
Mirissa,"16,059","1,582,500","60,900","166,058,035","76,959","167,640,535"
Girithale,"8,610","295,720",104,"64,523","8,714","360,243"
TOTAL,"1,005,812","131,021,974","583,703","3,779,520,981","1,589,515","3,910,542,955"
