0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,Total up
No,C,January,February,March,April,May,June,,,Sep,,Nov,Dec,
,ountry,,,,,,,July,Aug,,Oct,,,
,,,,,,,,,,,,,,to Dec
171,Togo,1,1,0,3,1,1,1,0,0,4,0,0,12
172,Tonga,0,0,0,0,4,0,1,0,1,0,0,0,6
173,Trinidad and Tobago,2,7,6,5,5,4,2,3,2,4,5,10,55
174,Tunisia,43,39,48,106,27,50,71,46,40,65,45,107,687
175,Turkey,362,246,227,289,141,275,251,262,256,349,566,515,"3,739"
176,Turkmenistan,4,18,11,13,7,5,11,2,5,9,13,23,121
177,Tuvalu,0,0,0,0,0,0,1,2,0,0,0,0,3
178,Uganda,9,1,9,4,7,15,27,12,11,16,9,7,127
179,Ukraine,884,562,516,326,167,200,185,183,233,305,479,"1,042","5,082"
180,United Arab Emirates,101,138,115,169,155,404,576,379,228,190,148,342,"2,945"
181,United Kingdom,"8,483","8,575","11,053","8,743","5,987","7,981","17,482","15,035","7,504","8,454","11,526","19,265","130,088"
182,United States,"2,636","2,443","5,701","3,940","3,240","3,806","4,120","3,107","2,357","2,651","4,299","8,044","46,344"
183,Uruguay,5,4,5,14,5,5,7,7,7,6,6,3,74
184,Uzbekistan,152,383,58,25,26,33,48,39,52,68,51,242,"1,177"
185,Vanuatu,1,2,6,5,3,2,4,3,2,2,4,7,41
186,Venezuela,4,5,14,18,3,8,9,15,1,5,11,13,106
187,Vietnam,117,103,284,141,233,192,195,238,154,113,335,202,"2,307"
188,Yemen (Yemen Arab,22,26,28,22,25,23,55,83,31,52,34,44,445
,Republic),,,,,,,,,,,,,
189,Zambia (Northern,6,7,4,6,3,2,5,4,3,4,1,6,51
,Rhodesia),,,,,,,,,,,,,
190,Zimbabwe,7,4,10,16,10,9,16,14,10,10,14,37,157
,Total,"102,545","107,639","125,495","105,498","83,309","100,388","143,039","136,405","111,938","109,199","151,496","210,352","1,487,303"
