0,1,2,3
Country,Total,Duration of stay,Tourist Nights
Ukraine,"5,082",10.48,"53,259"
Others,"11,368",8.59,"97,651"
SOUTHERN /MEDITERRANEAN,"81,624",9.56,"780,325"
EUROPE,,,
Greece,"1,816",8.61,"15,636"
Italy,"22,242",10.44,"232,206"
Portugal,"3,943",9.30,"36,670"
Spain,"23,905",9.95,"237,855"
Turkey,"3,739",6.74,"25,201"
Israel,"19,517",12.28,"239,669"
Others,"6,462",9.57,"61,841"
MIDDLE EAST,"27,830",6.92,"192,584"
Bahrain,"1,232",7.95,"9,794"
Egypt,"3,091",7.36,"22,750"
Iraq,902,7.02,"6,332"
Jordan,"3,604",7.08,"25,516"
Kuwait,"1,955",5.93,"11,593"
Lebanon,"3,347",6.74,"22,559"
Oman,"2,038",7.76,"15,815"
Qatar,822,6.28,"5,162"
Saudi Arabia,"6,797",7.95,"54,036"
United Arab Emirates,"2,945",5.62,"16,551"
Others,"1,097",6.48,"7,109"
AFRICA,"9,950",7.17,"71,342"
NORTH AFRICA,"2,621",7.46,"19,553"
Morocco,789,7.69,"6,067"
Sudan,834,7.75,"6,464"
Others,998,6.93,"6,916"
SUB - SAHARAN AFRICA,"7,329",6.87,"50,350"
Kenya,613,6.66,"4,083"
Mauritius,471,5.61,"2,642"
Nigeria,93,6.72,625
South Africa,"3,444",7.55,"26,002"
Others,"2,708",7.81,"21,149"
ASIA & PACIFIC,"596,933",6.75,"4,029,298"
NORTH EAST ASIA,"100,790",6.56,"661,182"
China,"68,789",6.42,"441,625"
Japan,"19,583",5.58,"109,273"
South Korea,"7,298",5.70,"41,599"
Taiwan,"4,999",7.82,"39,092"
Others,121,7.28,881
SOUTH EAST ASIA,"36,060",6.46,"232,948"
Cambodia,519,7.20,"3,737"
Indonesia,"2,352",5.94,"13,971"
Malaysia,"10,940",6.23,"68,156"
Myanmar,"1,130",6.58,"7,435"
Philippines,"4,164",6.99,"29,106"
