0,1,2,3
Country,Total,Duration of stay,Tourist Nights
Singapore,"9,551",6.51,"62,177"
Thailand,"4,922",5.82,"28,646"
Vietnam,"2,307",6.22,"14,350"
Others,175,6.61,"1,157"
SOUTH ASIA,"384,448",6.30,"2,422,022"
Afghanistan,181,11.07,"2,004"
Bangladesh,"17,846",3.85,"68,707"
Bhutan,433,7.10,"3,074"
India,"302,844",4.60,"1,393,082"
Iran,"10,322",8.00,"82,576"
Maldives,"37,328",5.09,"190,000"
Nepal,"4,750",5.33,"25,318"
Pakistan,"10,744",5.37,"57,695"
OCEANIA,"75,635",9.11,"689,035"
Australia,"67,436",10.32,"695,940"
New Zealand,"7,913",10.46,"82,770"
Others,286,6.55,"1,873"
Total,"1,487,303",8.44,"12,552,837"
