0,1,2,3,4,5,6,7
,,Air,,,Sea,,
Year,Total,Katunayake  Mattala,,Colombo,Galle,Talaimannar,Other
,,,,Harbour,Harbour,,
2005,"727,301","725,956",,"1,345",-,-,-
2006,"756,735","756,735",,-,-,-,-
2007,"862,011","862,011",,-,-,-,-
2008,"966,337","966,337",,-,-,-,-
2009,"962,786","962,786",,-,-,-,-
2010,"1,122,212","1,122,212",,-,-,-,-
2011,"1,239,290","1,239,290",,-,-,-,-
2012,"1,268,792","1,268,792",,-,-,-,-
2013,"1,261,506","1,257,099","1,838",931,"1,638",-,-
2014,"1,311,063","1,307,133","1,638",744,"1,548",-,-
2015,"1,356,411","1,353,115",861,"1,153","1,282",-,-
2016,"1,447,786","1,442,645","1,225","2,694","1,037",-,185
2017,"1,439,429","1,434,083","1,453","1,883","1,285",-,725
2018,"1,475,929","1,471,481",358,"1,381","1,950",-,759
2019,"1,441,462","1,436,675",2,"1,148","2,470",-,1167
2020,"313,914","309,532",420,"1,047","2,819",-,96
2021,"309,220","304,979",36,"1,248","2,713",-,244
2022,"1,127,512","1,124,022",-,"1,466","1,922",-,102
2023,"1,465,326","1,462,246",137,"1,498","1,012",-,433
