0,1,2,3,4,5,6,7,8,9,10
Caribbean & Central America,701,321,380,50,72,140,192,162,55,30
Costa Rica,62,32,30,2,4,10,22,20,2,2
Jamaica,57,30,27,1,9,12,17,5,10,3
Others,582,259,323,47,59,118,153,137,43,25
South America,"3,482","1,862","1,620",327,274,500,"1,035","1,063",147,136
Argentina,687,351,336,85,68,108,179,188,29,30
Brazil,"1,337",694,643,158,118,222,419,318,47,55
Chile,394,210,184,29,13,46,137,146,9,14
Colombia,539,319,220,25,28,47,164,219,31,25
Others,525,288,237,30,47,77,136,192,31,12
Europe,"757,327","406,469","350,858","68,455","101,654","120,478","152,884","179,850","67,582","66,424"
Northern Europe,"165,485","81,564","83,921","21,695","26,776","28,065","24,033","27,782","18,367","18,767"
Denmark,"10,346","5,598","4,748","1,159","1,675","1,356","1,017","1,907","2,270",962
Finland,"2,287","1,287","1,000",253,315,359,400,619,181,160
Norway,"8,747","4,413","4,334",917,"1,912","1,333",983,"1,649","1,208",745
Sweden,"8,643","4,443","4,200","1,115","1,200","1,371","1,258","1,651","1,217",831
United Kingdom,"130,088","62,896","67,192","17,787","21,079","22,959","19,458","19,973","13,112","15,720"
Others,"5,374","2,927","2,447",464,595,687,917,"1,983",379,349
Western Europe,"233,297","123,330","109,967","30,250","39,557","31,622","32,693","59,381","23,495","16,299"
Austria,"10,594","5,980","4,614","1,410","1,794","1,306","1,496","3,282",879,427
Belgium,"10,667","5,605","5,062",841,"1,361","1,657","1,501","3,056","1,418",833
France,"56,251","29,061","27,190","6,813","8,413","8,649","8,515","12,539","5,947","5,375"
Germany,"102,539","54,961","47,578","15,887","19,457","12,501","14,409","26,249","8,611","5,425"
Netherlands,"29,056","14,977","14,079","2,784","4,179","4,027","3,639","8,392","3,923","2,112"
Switzerland,"23,556","12,394","11,162","2,409","4,286","3,409","3,052","5,640","2,673","2,087"
Others,634,352,282,106,67,73,81,223,44,40
C,,,"117,195","10,532","26,707","48,907","80,325","65,864","17,451","27,135"
entral / Eastern Europe,"276,921","159,726",,,,,,,,
Belarus,"10,969","6,160","4,809",179,684,"1,570","3,316","3,731",650,839
Czech Republic,"12,056","6,667","5,389","1,055","1,708","2,851","1,922","2,578","1,132",810
Estonia,"1,808",972,836,120,272,372,407,304,153,180
Hungary,"3,786","2,075","1,711",358,535,885,785,720,242,261
