0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,Official Tourist Receipts,,,,,Capacity (Graded),,,,Sri Lankan Nationals,,Employment
,,,,,,,,Receipt,Average,,,Annual,,,,
,,,,,,,,per,Duration,,,Room,,,,
,,,,,,,,Tourist,(Nights),Rooms **,Beds,Occupancy,Arrivals,Departures,Direct,Indirect
Year,Tourist,Excursionist,Tourist,Rs. Mn,US$ Mn,Euro,SDR Mn,per day,,,,Rate,,,,(Estd)
,Arrivals,Arrivals,Nights,,,Mn,,(US $),,,,(Graded),,,,
,,,'000,,,,,,,,,,,,,
1985,"257,456","9,882","2,365","2,233.3",82.2,,80.8,34.8,9.2,"9,826","19,352",32.7,"220,094","239,272","22,723","31,810"
1986,"230,106","6,266","2,513","2,300.1",82.1,,69.9,32.7,10.9,"9,794","19,301",32.9,"220,614","229,386","22,285","31,199"
1987,"182,620","2,417","2,414","2,415.2",82.0,,63.4,34.0,13.2,"9,921","19,322",31.5,"217,127","257,760","20,338","28,473"
1988,"182,662","6,108","2,305","2,438.3",76.6,,57.0,33.3,12.6,"9,977","19,432",32.1,"245,065","298,583","19,960","27,944"
1989,"184,732","4,064","1,970","2,739.7",76.0,,59.3,38.6,10.7,"9,459","18,464",31.0,"258,950","285,510","21,958","30,741"
1990,"297,888","3,954","3,225","5,303.3",132.0,,97.5,41.1,10.8,"9,556","18,669",47.2,"306,367","296,884","24,964","34,950"
1991,"317,703","2,665","3,633","6,485.8",156.8,,114.6,42.8,11.4,"9,679","18,947",48.4,"237,424","310,373","26,878","37,629"
1992,"393,669","5,651","4,055","8,825.6",201.4,,142.9,49.7,10.3,"10,214","19,907",55.3,"339,109","420,749","28,790","40,306"
1993,"392,250","6,093","4,148","10,036.8",208.0,,149.0,50.1,10.6,"10,365","20,242",57.0,"375,740","416,246","30,710","42,994"
1994,"407,511","8,413","4,251","11,401.6",230.7,,161.1,54.2,10.4,"10,742","20,929",56.6,"422,367","448,437","33,956","47,538"
1995,"403,101","10,556","4,024","11,551.6",225.4,,148.6,56.1,10.0,"11,255","21,680",52.6,"459,441","504,420","35,068","49,095"
1996,"302,265","12,863","2,947","9,559.1",173.0,,119.1,57.9,9.8,"11,600","22,040",40.3,"488,055","494,258","31,963","44,748"
1997,"366,165","18,265","3,680","12,980.3",216.7,,160.4,58.6,10.1,"12,370","22,944",49.1,"482,850","530,712","34,006","47,608"
1998,"381,063","27,629","3,944","14,868.0",230.5,,169.9,59.5,10.4,"12,770","23,373",52.8,"481,793","518,050","34,780","48,692"
1999,"436,440","28,335","4,479","19,297.3",274.9,,201.0,61.4,10.3,"12,918","24,216",57.6,"521,073","496,963","36,560","51,184"
2000,"400,414","44,518","4,056","19,162.2",252.8,274.1,191.9,62.3,10.1,"13,311","24,953",52.3,"514,448","524,212","37,943","53,120"
2001,"336,794","60,084","3,342","18,863.3",211.1,236.1,165.7,63.1,9.9,"13,626","25,595",42.1,"487,356","505,341","33,710","47,194"
2002,"393,171","63,560","3,989","24,202.0",253.0,267.7,179.3,63.4,10.1,"13,818","25,956",43.1,"493,947","533,565","38,821","54,349"
2003,"500,642","82,066","5,093","32,810.0",340.0,300.5,242.6,66.8,10.2,"14,137","26,511",53.2,"560,602","591,126","46,761","65,465"
2004,"566,202","110,000","5,742","42,666.3",416.8,334.3,298.6,72.2,10.1,"14,322","26,854",59.3,"646,990","680,248","53,766","75,272"
2005,"549,308","119,618","4,754","36,377.30",362.3,289.8,244.6,74.6,8.7,"13,162","24,740",45.4,"683,169","727,301","52,085","72,919"
2006,"559,603","128,719","5,793","42,585.5",410.3,326.1,278.3,83.4,10.4,"14,218","27,117",47.8,"734,421","756,735","55,649","77,909"
2007,"494,008","98,432","4,940","42,519.3",384.4,280.5,250.9,79.1,10.0,"14,604","27,500",46.2,"817,524","862,011","60,516","84,722"
2008,"438,475","87,695","4,166","37,094.0",319.5,217.2,202.1,76.7,9.5,"14,793","28,698",43.9,"900,815","966,337","51,306","71,828"
