0,1,2,3,4,5
,,,,"Japan39,3582.10Canada44,122",2.15
,,Percentage Share,,"Total1,197,45566.58Total1,372,395",66.92
Market Region,,,,,
,2014,2015,2016,Source: Sri Lanka Tourism Development Authority,
America -North,4.8,4.7,4.8,,
Europe -West,31.4,30.7,31.4,Th,e analysis of the major ten source markets refl ects that
Europe - East,10.1,8.3,7.9,,India continues to be the leading tourist producer to the
,,,,,country. China was the second major tourist producer to
Middle East,5.8,5.6,5.2,,
,,,,,the country with a share of  13.24 per cent in 2016. Th  e
Asia - South,24.2,25.5,25.0,,
,,,,,highest tourist producers namely India and China claimed
Asia -North East,12.2,15.2,16.1,,
,,,,,almost one third of the total tourist traffi  c to the country
Asia -South east,5.8,4.7,4.0,,
,,,,during the year under review.,
Australasia,4.3,4,4.1,,
,,,,,UK has become the third major source of tourism to the
Others,1.4,1.3,1.5,,
,,,,,country  claiming  9.17  per  cent  of  share  out  of  the  total
Total,100,100,100.0,,
,,,,tourist traffi  c.,
