0,1,2,3,4,5
Country of  Residence,2012,2013,2014,2015,2016
NORTH AMERICA,"59,236","65,616","72,653","84,943","98,376"
Canada,"29,329","30,926","33,282","37,732","44,122"
U.S.A.,"29,907","34,690","39,371","47,211","54,254"
LATIN AMERICA & THE,,,,,
,"1,626","3,166","4,124","4,628","5,625"
CARIBBEAN,,,,,
WESTERN EUROPE,"373,063","421,037","479,007","552,442","643,333"
Austria,"7,991","11,300","12,664","14,253","16,995"
Belgium,"11,323","9,138","9,915","13,054","14,387"
Denmark,"8,323","9,845","11,239","15,203","18,097"
Finland,"4,840","2,471","2,903","3,830","5,057"
France,"56,863","64,388","78,883","86,126","96,440"
Germany,"71,642","85,470","102,977","115,868","133,275"
Italy,"15,871","17,982","21,116","24,293","29,791"
Netherlands,"26,754","22,281","24,196","32,742","41,373"
Norway,"7,703","8,573","9,237","12,007","12,790"
Spain,"8,319","8,183","11,914","15,582","19,425"
Sweden,"13,775","12,597","14,259","18,423","21,589"
Switzerland,"20,054","19,141","20,097","22,418","26,282"
U.K.,"114,218","137,416","144,168","161,845","188,159"
Others,"5,387","12,252","15,439","16,798","19,673"
EASTERN EUROPE,"72,401","125,695","154,153","148,458","161,171"
Russia,"28,402","51,235","69,718","61,846","58,176"
Ukraine,"22,348","38,607","29,882","23,853","31,302"
Others,"21,651","35,853","54,553","62,759","71,693"
MIDDLE EAST,"56,169","80,509","88,991","101,066","107,635"
AFRICA,"5,045","8,081","12,163","12,899","12,144"
South Africa,"3,048","3,366","4,155","4,717","5,208"
Others,"1,997","4,715","8,008","8,182","6,936"
EAST ASIA,"132,730","183,097","280,511","362,857","425,161"
China (P.R.),"27,316","54,288","128,166","214,783","271,577"
Indonesia,"2,890","17,295","29,558","23,305","16,047"
Japan,"26,085","31,505","39,136","39,358","43,110"
Korea (South),"7,838","12,207","13,412","14,373","14,520"
Malaysia,"21,776","19,181","23,178","22,772","24,727"
Philippines,"5,687","14,616","11,160","11,305","12,747"
Singapore,"17,273","15,546","15,762","15,846","19,033"
Th  ailand,"7,897","9,608","9,260","10,112","9,462"
Taiwan (P.C),"12,703","3,931","5,193","5,330","6,579"
Others,"3,265","4,920","5,686","5,673","7,359"
SOUTH ASIA,"247,559","326,556","370,299","459,415","513,536"
Bangladesh,"4,646","10,037","10,754","13,358","17,098"
India,"176,340","208,795","242,734","316,247","356,729"
Maldives,"47,572","79,474","86,359","90,617","95,167"
Nepal,"1,038","2,019","3,319","5,801","13,153"
Pakistan,"16,056","25,336","25,424","32,300","29,965"
Others,"1,907",895,"1,709","1,092","1,424"
AUSTRALASIA,"57,776","60,836","65,252","71,672","83,851"
Australia,"51,614","54,252","57,940","63,554","74,496"
New Zealand,"5,641","6,174","6,880","7,762","9,045"
Others,521,410,432,356,310
Total,"1,005,605","1,274,593","1,527,153","1,798,380","2,050,832"
