0,1,2,3,4,5,6,7,8,9,10,11
,,Percentage Distribution by Sex & Age by Country of Residence – 2007 to 2016,,,,,,,,,
,,,,,,,,,,,Table (h)
,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sex,Male,60.2,60.4,59.7,54.1,59.2,55.4,62.1,55.3,53.6,45.3
,Female,39.8,39.6,40.3,45.9,40.8,44.6,37.9,44.7,46.4,54.7
Age,,,,,,,,,,,
,3-19,9.6,10.1,9.6,10.3,11.6,10.6,2.4,9.5,9.9,7.9
Group,,,,,,,,,,,
,20-29,17.1,14.8,15.3,15.0,16.9,19.2,20.6,17.6,17.8,14.8
,30-39,27.6,28.7,28.4,28.1,22.6,25.9,30.3,23.7,22.6,22.5
,40-49,30.3,27.4,28.6,28.9,26.6,25.1,21.7,20.6,18.9,21.1
,50-59,8.3,11.7,11.5,12.9,11.7,10.2,13.9,16.2,17.0,16.6
,60 &,,,,,,,,,,
,,6.9,7.3,6.6,4.8,10.6,9.0,11.1,12.4,13.9,17.1
,Over,,,,,,,,,,
