0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Class,,No.,,,No.,,No.,,Total,,Foreign,,Local,,Room
of,,of,,,of,,of,,Guest,,Guest,,Guest,,Occupancy
Accommodation,,Units,,,Rooms,,Beds,,Nights,,Nights,,Nights,,Rate
,2011,,2012,2011,2012,2011,2012,2011,2012,2011,2012,2011,2012,2011,2012
(A) Hotel,252,,269,"14,653","15,510","28,844","30,399","6,618,873","6,495,129","5,011,480","5,038,066","1,607,393","1,457,063",77.1,71.2
5 Star,14,,14,"3,230","3,230","6,420","6,420","1,580,024","1,472,859","1,377,990","1,290,825","202,034","182,034",78.7,71.5
4 Star,15,,15,"1,784","1,784","3,329","3,329","1,068,022","1,005,604","848,929","852,772","219,093","152,832",78.1,69.7
3 Star,15,,16,"1,178","1,201","2,341","2,378","543,466","548,643","441,696","453,678","101,770","94,965",74.6,65.3
2 Star,36,,36,"2,022","2,022","3,981","3,981","987,006","931,487","743,657","728,896","243,349","202,591",76.4,71.9
1 Star,33,,33,"1,171","1,171","2,322","2,322","675,883","571,943","528,968","462,798","146,915","109,145",77.9,70.3
Unclassified,139,,155,"5,268","6,102","10,451","11,969","1,764,472","1,964,593","1,070,240","1,249,097","694,232","715,496",76.8,78.6
(B) Supplementary,,,,,,,,,,,,,,,
Establishments,551*,,620*,"5,980*","6,577*","11,654*","13,113*","2,822,365","3,054,640","2,247,407","2,372,266","574,958","682,374",70.3,76.2
