0,1,2,3,4,5,6,7,8,9,10
,Percentage Distribution of Arrivals - 2003 to 2012,,,,,,,,,
Carrier,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Inter-Regional,,,,,,,,,,
Flights,77.8,74.5,77.3,76.1,77.6,78.1,82.5,81.5,86.2,87.8
Intra-Regional,,,,,,,,,,
Flights,18.9,21.5,21.6,22.9,20.6,18.8,16.2,17.4,11.8,11.3
Charter Flights,3.2,3.9,1.0,0.9,1.7,3.0,1.2,1.0,1.8,0.6
TOTAL AIR,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7
Passenger Ships,,,,,,,,,,
(CBO),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3
TOTAL  SEA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
