0,1,2,3,4,5,6,7,8,9,10
,,,,,Year,,,,,
,,,,,,,,,,Table (a)
,,Market Growth Trends by,,,,Nationality - Growth Indices,,,,
,,,,(Average 1963/1966 = 100),,,,,,
,,,,,,,,,,Average Annual
Market,2004,2005,2006,2007,2008,2009,2010,2011,2012,Growth Rates
Western Europe,"3,640","2,903","2,917","2,498","2,115","2,171","3,255","4,088","4,820",15.6
Asia,"3,260","3,706","4,024","3,338","2,926","2,900","4,087","5,559","6,382",16.6
North America,871,"1,328","1,014",806,660,712,"1,153","1,525","1,612",8.2
Australasia,"3,314","3,508","2,954","2,728","2,752","3,087","4,392","6,099","5,936",16.1
Others,"3,265","2,815","3,536","5,749","6,492","6,507","9,461","11,980","17,092",54.1
All Markets,"2,978","2,889","2,943","2,598","2,306","2,355","3,442","4,501","5,288",16.6
