0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Monthly Occupancy Rates in Graded Establishments by Region - 2012,,,,,,,,,,,,,,
Resort Region,No. of,,,,,,,,,,,,,,Annual
,Units,Rooms,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,O/R
Colombo City,20,"3,054",92.4,89.6,93.9,54.2,50.3,52.6,79.3,79.2,80.1,75.2,78.8,84.2,75.8
Greater Colombo,57,"2,856",89.6,85.8,90.8,61.7,47.2,49.2,80.1,74.8,75.8,75.8,78.5,85.3,74.5
I. North of Colombo,43,"2,204",89.2,85.1,91.2,69.1,48.2,49.7,79.1,73.2,74.3,72.2,78.5,86.6,74.7
II.South of Colombo,14,652,90.0,86.4,90.4,54.2,46.1,48.7,81.1,76.4,77.2,79.3,78.4,83.9,74.3
South Coast,103,"5,660",91.5,87.7,89.2,59.6,46.2,51.8,79.2,73.7,73.9,75.0,78.7,80.9,73.9
I.Upto Galle,64,"3,954",93.4,89.1,91.5,69.2,51.2,56.9,80.1,77.3,75.6,76.8,80.1,83.4,77.1
II. Beyond Galle,39,"1,706",89.5,86.3,86.9,49.9,41.2,46.7,78.3,70.1,72.1,73.2,77.3,78.4,70.8
East Coast,10,296,80.1,75.3,87.2,47.4,40.3,43.1,77.3,70.3,69.9,75.2,72.8,79.8,68.2
High Country,20,743,81.2,73.7,82.8,48.6,40.7,43.1,75.3,69.2,70.2,71.2,79.3,81.9,68.1
Ancient Cities,59,"2,901",80.6,74.9,80.6,49.9,43.1,44.6,71.2,65.2,65.3,67.0,74.9,81.0,66.5
I.Kandy Area,28,"1,350",86.5,79.5,84.9,49.4,44.2,46.1,93.1,78.1,75.2,76.1,83.6,83.3,73.3
II. Anuradhapura Area,8,270,74.1,71.9,76.9,44.2,37.1,39.9,61.9,59.9,63.4,62.9,68.9,78.2,61.6
III. Polonnaruwa / Giritale,8,938,78.3,72.6,77.3,48.3,37.9,38.2,76.1,50.2,49.2,53.2,79.8,87.1,62.4
IV. Habarana / Sig. / Damb.,15,343,83.6,75.7,83.2,57.5,53.2,54.1,53.6,72.4,73.2,75.7,67.2,75.2,68.7
Northern Region,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
All Regions,269,"15,510",85.9,81.2,87.4,53.5,44.6,47.4,77.1,72.1,72.5,73.2,77.2,82.2,71.2
