0,1,2
location,"Number of 
respondents","% 
Share"
Colombo city,"3,857",41.3
Kandy,"3,485",37.3
Galle,"2,768",29.6
Sigiriya,"2,319",24.8
Nuwara Eliya,"2,290",24.5
Dambulla,"2,054",22.0
Negambo,"2,050",21.9
Unawatuna,"1,400",15.0
Pinnawala,"1,324",14.2
Polonnaruwa,"1,289",13.8
Hikkaduwa,"1,199",12.8
Anuradhapura,"1,318",14.1
Yala park,"1,216",13.0
Adams Peak,"1,133",12.1
Udawalawa Park,"1,058",11.3
Minneriya Park,"1,001",10.7
Horton Plains,833,8.9
Nilaweli,854,9.1
Jaffna,840,9.0
Rathnapura,651,7.0
Arugambay,655,7.0
Passikudah,612,6.5
Vilpaththu,564,6.0
Sinharaja Forest,538,5.8
Kithulgala,535,5.7
"Total number of 
Respondents","9,348",100%
