0,1,2,3,4,5,6
Month,Pleasure,VFR,MICE,Business,Other or,Total
,,,,,not,
,,,,,responded,
January,"56,769","17,439","6,417","4,592","17,328","102,545"
February,"58,124","14,121","7,580","5,367","22,447","107,639"
March,"67,863","16,495","7,466","6,250","27,421","125,495"
April,"63,126","14,498","4,754","4,895","18,225","105,498"
May,"45,329","14,927","4,159","5,190","13,704","83,309"
June,"52,508","20,942","4,338","5,344","17,256","100,388"
July,"74,618","32,228","6,893","6,034","23,266","143,039"
August,"79,026","24,926","7,083","7,288","18,082","136,405"
September,"67,102","14,121","6,637","6,462","17,616","111,938"
October,"64,096","12,797","5,560","6,129","20,617","109,199"
November,"87,325","12,857","7,723","5,835","37,756","151,496"
December,"136,090","20,044","13,186","3,942","37,090","210,352"
