0,1,2,3,4,5,6,7,8,9,10,11,12,13
District,,Camping Sites,Eco lodge,Restaurants,Tourist friendly,eating places,Tourist Shops,Water Sports,Spice Garden,,Travel agencies,,Spa
Ampara,,,,1,4,,,1,,16,,,
Anuradhapura,,,,13,13,,,,,3,,,
Badulla,,,,9,10,,,,,,,,
Batticaloa,,,,3,,,,1,,10,,2,
Colombo,,,,380,80,,28,2,,771,,52,
Galle,,,,68,34,,8,4,3,29,,16,
Gampaha,,,,100,23,,6,1,,197,,14,
Hambantota,2,,,14,7,,,,,1,,6,
Jaffna,,,,11,4,,,,,1,,,
Kalutara,,,,18,9,,5,5,,45,,11,
Kandy,1,,,33,27,,30,,,34,,7,
Kegalle,,,,20,6,,,3,13,13,,1,
Kilinochchi,,,,2,3,,,,,,,,
Kurunegala,,,,24,5,,,1,,28,,1,
Mannar,,,,,,,,,,,,,
Matale,,,,19,2,,13,,24,,,2,
Matara,,,1,31,22,,1,10,,6,,6,
Monaragala,5,,,11,2,,,,,,,,
Mullaitivu,,,,4,3,,,,,,,,
Nuwara Eliya,,,,13,4,,2,,,2,,4,
Polonnaruwa,,,,7,7,,1,,1,,,1,
Puttalam,,,,16,9,,,15,,19,,1,
Rathnapura,1,,,9,4,,1,,,3,,1,
Trincomalee,,,,5,,,,1,,4,,2,
Vavuniya,,,,1,,,,,,,,,
Total,9,,1,812,278,,95,44,41,"1,182",,127,
