0,1,2,3,4,5,6
Country of Residence,2012,2013,2014,2015,2016,2017
LATIN AMERICA & THE CARIBBEAN,"1,626","3,166","4,124","4,628","5,625","6,482"
Argentina,387,400,509,550,771,921
Chile,-,255,366,433,524,631
Colombia,-,268,340,466,567,710
Brazil,476,803,"1,071","1,341","1,385","1,822"
Others,763,"1,440","1,838","1,838","2,378","2,398"
WESTERN EUROPE-OTHERS,"5,387","12,252","15,439","16,798","19,673","21,677"
Greece,"1,415","4,010","5,002","5,144","4,573","5,651"
Ireland,"1,951","4,512","5,163","5,970","7,968","9,806"
Portugal,"1,284","2,097","2,620","3,001","4,095","5,060"
Others,737,"1,633","2,654","2,683","3,037","1,160"
EASTERN EUROPE-OTHERS,"21,651","35,853","54,553","54,553","71,693","70,430"
Czech	Republic,"5,877","8,881","11,736","15,278","17,858","15,712"
Hungary,"1,418","1,653","2,697","2,955","3,942","4,951"
Poland,"5,806","9,688","13,370","13,245","14,432","15,346"
Romania,"1,029","1,687","2,331","3,107","3,466","4,652"
Slovakia,"2,040","1,731","2,411","4,214","5,696","6,579"
Lithuania,"1,078","1,405","1,858","1,764","2,372","2,959"
Turkey,"1,460","2,399","2,500","3,108","3,804","4,609"
Kazakhstan,996,"2,362","3,750","6,371","5,285","6,122"
Others,"1,947","6,047","13,900","4,511","14,838","9,500"
AFRICA -OTHERS,"1,997","4,715","8,008","8,182","6,936","6,977"
Kenya,645,507,665,601,706,853
Mauritius,284,288,347,430,550,703
Nigeria,684,550,487,390,343,416
Sudan,-,426,718,665,902,"1,078"
